frame,acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z
0,-0.95785,0.06307,0.36971,0.08143,-9.47583,-5.64886
1,-0.9436,-0.01742,0.38778,-3.35878,-14.03562,-13.40458
2,-0.93758,-0.03003,0.33024,-67.38931,-4.743,-22.33079
3,-0.86605,0.26188,0.28939,-108.10178,7.85751,-44.30534
4,-1.25977,0.60099,0.73112,-22.25954,12.67176,-55.68448
5,-1.6263,0.09871,1.02783,89.12977,-12.45802,17.24173
6,-1.24145,-0.63631,0.26904,128.36641,26.00509,4.38677
7,0.0918,-1.07992,0.22575,139.257,7.94911,-211.16539
8,-0.47192,-0.07145,-0.13892,27.08397,-34.66667,-253.40458
9,-0.83732,-0.25008,0.51375,-89.9542,-20.33588,-190.1374
10,-2.20394,-0.55526,0.98104,-44.98728,7.74555,-54.2799
11,-1.09611,-0.16366,0.44556,17.77099,-8.21374,153.17048
12,-0.50505,-0.17432,0.1145,-9.83206,-13.18066,239.16539
13,0.17546,-0.37419,-0.15666,-160.92621,-15.57252,193.82188
14,-0.29598,-0.12834,0.19556,-86.73791,-40.72265,112.35623
15,-3.25041,0.03719,1.26074,-19.6743,-36.12214,15.27735
16,-1.9646,-0.68473,0.76978,73.56743,25.89313,43.95929
17,-0.37484,-0.36548,0.29769,112.62087,55.78626,-61.80153
18,-0.14404,-0.61092,-0.2251,113.37405,2.98219,-249.35369
19,-0.54549,0.0109,-0.05656,38.11705,6.77863,-237.24173
20,-1.55688,-0.07096,0.83293,-23.24682,-15.70483,-172.81425
21,-1.95793,-0.59847,0.85099,-9.36387,22.58524,35.06361
22,-0.87191,0.36117,0.59985,42.35115,-33.38422,206.52417
23,-0.06567,-0.87305,-0.38192,-96.49873,0.66158,244.82443
24,0.16317,-0.26327,0.10693,-201.66921,-33.00763,132.6514
25,-2.60229,-0.43286,1.17643,4.12214,-38.00509,2.65649
26,-0.68384,0.30518,1.03125,-39.95929,25.05852,-125.85242
27,-1.43254,-0.38493,0.5249,25.75064,-8.22392,115.45038
28,-0.68408,0.47233,0.23844,15.36896,9.35369,110.34097
29,-0.61287,-0.34505,0.08927,74.59542,15.70483,39.29771
30,-1.2076,-0.28223,0.56169,-18.62595,1.69975,-7.62341
31,-0.90316,0.25383,0.58154,-81.43511,-4.03053,39.20611
32,-0.92131,0.3291,0.2736,40.3257,8.85496,-13.38422
33,-0.9598,0.05656,0.46655,15.38931,-4.10178,-3.28753
34,-1.01172,0.11621,0.36548,9.66921,5.74046,2.25954
35,-0.9467,0.17,0.34269,8.05089,7.77608,-4.82443
36,-0.97982,0.06665,0.35457,9.60814,3.19593,1.24173
37,-0.96232,0.16089,0.39282,1.12977,2.61578,-0.61069
38,-0.97567,0.05184,0.34692,16.87532,2.91094,-2.55471
39,-0.96631,0.0909,0.39225,-11.87786,3.10433,7.05343
40,-0.97046,0.16927,0.37451,0.81425,1.93384,-1.70992
41,-0.96257,0.18213,0.37118,11.74555,0.63104,-5.00763
42,-0.9742,0.07422,0.37215,14.72774,1.58779,-3.41985
43,-0.97664,0.05762,0.35514,-5.27226,2.09669,0.43766
44,-0.97119,0.14982,0.37695,-15.18575,5.51654,0.99746
45,-0.97811,0.16968,0.35645,-15.46056,9.04835,0.05089
46,-0.97298,0.18726,0.34204,0.92621,1.05852,-1.40458
47,-0.98145,0.10156,0.34635,13.70992,-1.07888,-3.83715
