frame,acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z
0,-0.99886,-0.22062,0.10636,-2.32061,4.743,-1.73028
1,-1.01147,-0.19629,0.07756,1.29262,6.97201,-1.98473
2,-1.0262,-0.24536,0.0424,6.98219,9.25191,-8.26463
3,-1.08464,-0.42342,-0.11637,5.61832,20.21374,-32.48855
4,-1.14388,-0.64266,-0.32829,13.34351,42.05598,-79.75572
5,-1.20785,-0.80973,-0.46989,18.68702,74.1374,-119.49109
6,-1.17472,-0.99634,-0.60563,-2.12723,105.98473,-149.7201
7,-1.16512,-1.05005,-0.47843,-37.486,138.49364,-158.50382
8,-1.03011,-1.22843,-0.32381,-29.3944,151.72519,-163.16539
9,-0.89746,-1.27384,-0.28857,-90.06616,137.99491,-170.72774
10,-0.71729,-1.11467,-0.2653,-143.24682,127.31807,-164.18321
11,-0.48885,-0.80713,-0.29956,-154.65649,121.67939,-146.38168
12,-0.26847,-0.55404,-0.26904,-129.42494,117.56743,-119.08397
13,-0.09627,-0.34644,-0.34619,-109.42494,117.25191,-107.08397
14,0.03792,-0.11133,-0.2819,-97.68957,131.31807,-97.87277
15,0.31274,0.24886,-0.06608,-33.97455,135.23664,-85.26209
16,0.49146,0.20158,-0.08919,35.79644,91.35878,-67.88804
17,0.56396,0.191,-0.10832,16.69211,29.79135,-52.02036
18,0.68872,0.16951,-0.24471,-2.94148,-1.98473,-33.17048
19,0.81706,0.01628,-0.34408,10.88041,-16.16285,-12.93639
20,0.81462,-0.06689,-0.41838,35.15522,-30.58524,-0.12214
21,0.73568,-0.22957,-0.25903,80.89567,-42.30025,8.93639
22,0.65625,-0.3999,-0.08952,148.20356,-44.67176,2.84987
23,0.52702,-0.70158,0.05697,219.22646,-100.2341,2.06616
24,0.23926,-0.84855,-0.12939,122.39186,-207.257,-0.22392
25,-0.09725,-0.81226,-0.41382,-9.63868,-293.17048,-9.67939
26,-0.65592,-0.7771,-1.17065,-82.97201,-303.93893,-67.1145
27,-0.76375,-0.0577,-1.57975,-56.36641,-185.89313,-112.56997
28,-0.68164,0.04907,-1.46615,-6.11705,-46.82952,-86.55471
29,-0.56608,0.04972,-1.12467,-6.4631,8.48855,-13.35369
30,-0.62394,0.04159,-0.89347,-0.85496,10.66667,57.79135
31,-0.69458,0.01929,-0.79972,3.48092,24.04071,115.36896
32,-0.65772,-0.07251,-0.72323,18.63613,37.3028,162.44275
33,-0.69385,-0.10824,-0.67188,16.16285,39.24682,207.33842
34,-0.69613,-0.2618,-0.75513,15.17557,37.76081,244.31552
35,-0.58049,-0.30623,-0.83887,-24.16285,36.25445,276.51908
36,-0.62354,-0.41292,-0.82267,-40.58015,14.06616,294.19847
37,-0.71712,-0.89429,-0.93205,3.66412,8.78371,233.82188
38,-0.34831,-0.83407,-0.95801,27.16539,11.84733,103.54198
39,-0.17293,-0.55021,-1.07471,23.09415,16.87532,22.48346
40,-0.17505,-0.37085,-1.19214,15.17557,31.27735,-15.18575
41,-0.29215,-0.43522,-1.53817,-6.82952,55.70483,-51.27735
42,-0.40275,-0.30184,-1.6897,-28.95674,100.3257,-86.33079
43,-0.50057,-0.22778,-1.57812,-0.03053,168.67176,-112.51908
44,-0.53711,-0.05965,-0.92131,29.76081,232.21374,-146.62595
45,-0.27482,0.04533,-0.15405,84.04071,230.6972,-192.37659
46,0.04053,0.69409,-0.03459,56.06107,196.06107,-198.20865
47,0.32878,0.94816,0.10921,41.36387,108.47837,-125.84224
48,0.47559,0.70589,0.00765,-8.16285,13.02799,-53.3028
49,0.6132,0.5153,-0.27425,-17.57761,-31.4402,-5.07888
50,0.6783,0.27563,-0.54728,-6.66667,-40.21374,16.54962
51,0.58952,0.25732,-0.62866,-19.03308,-35.43003,19.73537
52,0.45101,0.22176,-0.64608,2.31043,-26.24936,14.38168
53,0.38045,0.18742,-0.45369,22.21883,-16.71247,5.69975
54,0.36393,0.16007,-0.36401,38.09669,-16.91603,6.89059
55,0.37484,0.19596,-0.27979,60.89567,-20.87532,31.64377
56,0.28019,0.12305,-0.22217,130.24936,-51.17557,81.46565
57,0.07121,-0.14152,-0.16675,181.78117,-72.03053,145.90331
58,-0.17505,-0.64355,0.15243,269.80153,-86.62595,239.1145
59,-0.66187,-0.86532,0.007,222.83969,-141.42494,316.80407
60,-1.03703,-1.39893,-0.03044,140.36641,-174.43257,353.76081
61,-1.84318,-1.31852,-0.13143,116.98728,-216.15267,353.73028
62,-1.86076,-1.13338,0.00065,71.08397,-146.62595,282.02545
63,-2.03597,-1.07454,-1.0682,97.94402,-132.37659,175.57252
64,-1.27515,-1.63232,-0.22135,119.41985,-0.36641,-2.87023
65,-0.70077,0.2168,0.65259,-157.90331,-4.62087,-10.15776
66,-0.83073,-0.05656,0.34163,-20.9771,-13.22137,-7.95929
67,-1.08968,-0.25098,0.06812,8.30534,-0.92621,4.89567
68,-1.03044,-0.3221,0.17554,-10.84987,1.32316,3.7659
