frame,acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z
0,-1.00033,-0.39453,0.40007,1.97455,4.90585,-12.54962
1,-1.16772,-0.80623,0.15365,-63.68448,37.27226,-40.28499
2,-1.40511,-0.57202,-0.09456,-117.1603,101.83206,-115.26718
3,-1.3182,-0.90169,-0.15389,25.93384,186.2799,-224.08142
4,-1.05395,-0.99162,-0.18848,-63.3486,228.71247,-230.65649
5,-0.70809,-0.83333,-0.21517,-82.68702,219.72519,-190.54453
6,-0.50667,-0.913,-0.21077,-57.17048,180.36641,-164.83461
7,-0.29403,-0.9008,-0.18791,-23.257,141.70992,-142.09669
8,-0.06331,-0.86719,-0.22925,-65.8626,91.6743,-126.77863
9,-0.02189,-0.78434,-0.32894,-113.77099,64.83461,-104.86514
10,0.1709,-0.69645,-0.34448,-101.89313,56.39695,-101.7201
11,0.27458,-0.45207,-0.36589,-121.7201,27.0229,-90.96183
12,0.34505,-0.3418,-0.46948,-71.53181,5.82188,-79.06361
13,0.40006,-0.25472,-0.54256,-45.3944,-1.47583,-58.25954
14,0.41333,-0.43758,-0.58626,-7.0229,-8.03053,-54.17812
15,0.42773,-0.83341,-0.6827,-34.29008,-1.11959,-67.26718
16,0.37093,-0.95239,-0.63444,-97.5369,3.22646,-143.23664
17,0.1355,-0.43571,-0.60319,-178.41221,2.4631,-227.75573
18,-0.17993,0.22713,-0.63371,-168.0,36.18321,-273.3944
19,-0.12565,0.74544,-0.47298,-133.87277,82.6056,-267.24682
20,-0.25407,1.35441,-0.25106,-50.92112,85.66921,-181.89313
21,-0.24292,1.37712,-0.14933,-8.54962,69.15013,-105.37405
22,-0.15845,1.20581,-0.15633,11.35878,42.9313,-46.26972
23,-0.03141,1.01123,-0.26123,7.19593,10.66667,-13.33333
24,0.02694,0.8584,-0.35889,17.09924,-0.07125,5.09924
25,0.09106,0.76253,-0.34814,35.59288,-1.24173,7.89822
26,0.12109,0.60295,-0.33325,54.6056,-1.18066,10.34097
27,0.12931,0.56925,-0.37069,61.77099,-11.6743,-3.68448
28,0.08073,0.56266,-0.4436,56.17303,-30.79898,-14.20865
29,0.05168,0.57609,-0.47192,88.28499,-56.49873,-21.73028
30,-0.09603,0.64526,-0.52238,120.68193,-99.20611,-24.93639
31,-0.323,0.49145,-0.40405,269.93384,-123.85751,-33.26209
32,-0.38078,0.13851,-0.30672,326.36132,-121.51654,-10.89059
33,-0.62297,-0.39266,-0.24268,310.79898,-116.38677,54.80916
34,-0.89518,-0.62207,-0.27262,294.59542,-86.30025,123.04326
35,-1.15234,-0.9401,-0.11149,333.09924,-51.06361,164.14249
36,-1.1687,-1.08032,0.0459,308.36641,-28.51908,166.26972
37,-1.16154,-1.13493,0.26969,261.89313,-11.00254,150.34097
38,-1.05859,-0.85417,0.32869,184.9771,8.71247,118.36132
39,-1.03556,-0.67057,0.42334,196.33588,27.04326,77.59796
40,-1.01701,-0.61711,0.38672,184.86514,19.18575,56.26463
41,-0.98429,-0.5485,0.323,141.65903,-3.3486,41.73028
42,-1.04451,-0.46956,0.2793,96.08143,-27.18575,19.81679
43,-1.00879,-0.36865,0.24748,65.6285,-45.65903,-16.70229
44,-0.99967,-0.40967,0.30412,61.09924,-39.98982,-41.40458
45,-0.9244,-0.27368,0.35173,-2.3715,-19.49109,-10.06616
46,-0.94092,-0.2159,0.43465,-23.85751,-13.48601,6.87023
47,-0.9397,-0.1779,0.4646,-17.27226,-10.88041,3.19593
48,-0.91512,-0.22477,0.43807,-16.82443,-8.45802,0.63104
