frame,acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z
0,-0.98747,-0.21688,-0.1049,0.37659,1.20102,-0.38677
1,-1.08732,-0.30428,-0.26066,71.51145,26.32061,-18.11705
2,-1.26546,-0.79321,-0.23779,155.71501,63.09415,-91.75573
3,-1.37695,-1.38745,-0.25122,158.01527,83.87786,-215.51145
4,-1.03792,-1.41032,-0.10807,40.68193,91.39949,-321.24173
5,-0.61589,-1.05575,0.02873,-37.8626,79.75572,-372.69211
6,-0.35555,-0.67196,0.15723,-91.68448,52.12214,-369.5369
7,-0.0249,-0.44263,0.19466,-93.7201,15.59287,-324.78371
8,0.2395,-0.27742,0.11475,-30.55471,-36.90585,-253.9542
9,0.31429,-0.16447,-0.03426,18.02545,-91.46056,-168.94656
10,0.29207,-0.05395,-0.24251,39.68448,-121.55725,-72.87532
11,0.50952,-0.50456,-0.97689,22.7888,28.40712,-2.10687
12,0.66536,-0.48991,-0.58805,-51.88804,29.00763,30.89059
13,0.92822,-0.5013,-0.06266,-11.4402,25.64886,-0.43766
14,0.87166,-0.18783,0.2465,60.29517,-63.71501,-32.18321
15,0.40487,-0.72827,-1.20972,12.42748,-6.72774,-19.3486
16,0.57088,-0.53703,-0.62321,-27.4402,29.38422,8.47837
17,0.8549,-0.48291,-0.01131,-43.03308,46.81934,10.4631
18,0.47176,-0.55819,-1.2334,27.98982,-63.53181,-14.11705
19,0.74357,-0.28337,-0.54753,14.40204,22.56489,-3.36896
20,0.62663,-0.44352,-0.54142,-36.06107,12.70229,3.96947
21,0.75985,-0.3606,-0.32096,-58.10687,39.0229,11.10433
22,0.89461,-0.39014,0.07446,18.16794,-12.39695,6.6056
23,0.20687,-0.77482,-1.83301,95.88804,-72.29517,-21.58779
24,0.80705,-0.49658,-0.35099,16.45802,-0.18321,-15.81679
25,0.69474,-0.37996,-0.4965,2.0458,-16.19338,-21.92366
26,0.67082,-0.38745,-0.47135,-11.257,-9.66921,-17.56743
27,0.63973,-0.39901,-0.44531,5.41476,-2.33079,-2.08651
28,0.63558,-0.375,-0.45199,14.1883,-2.99237,9.43511
29,0.54631,-0.3488,-0.38566,29.26209,-8.0,27.53181
30,0.4043,-0.34644,-0.36239,48.34606,-29.04835,59.16539
31,0.40649,-0.61922,-0.47233,39.60305,-22.49364,99.55216
32,0.30127,-0.35824,-0.52669,-22.30025,-5.92366,155.71501
33,0.02515,-0.31437,-0.45199,-33.99491,-5.57761,232.43766
34,-0.20239,-0.68831,-0.46232,-41.47583,-36.15267,292.0
35,-0.42269,-0.71973,-0.21891,-54.38168,-88.35623,314.66667
36,-0.83455,-0.58952,-0.42171,-146.4631,-151.35878,257.48601
37,-1.31079,-0.38021,-0.42961,55.45038,-197.24173,223.15522
38,-1.57007,-0.67651,-0.32113,161.50636,-133.91349,207.59288
39,-1.31169,-0.60848,-0.21509,154.2799,-59.46056,138.3715
40,-1.01774,-0.48608,-0.07463,119.13486,-28.18321,38.79898
41,-0.93896,-0.48739,-0.06128,63.54198,-33.69975,-0.26463
42,-0.92651,-0.46997,-0.07772,-14.05598,-35.98982,-1.34351
43,-1.04207,-0.24837,-0.20125,-45.25191,-31.96947,-13.44529
44,-1.06071,0.08455,-0.2675,14.01527,10.64631,-12.12214
45,-0.99967,-0.22664,-0.0083,-45.8626,-0.18321,-6.31043
46,-0.95589,-0.19124,0.0472,-46.89059,-4.19338,-11.5827
47,-0.98413,-0.13656,0.00203,-18.80916,-3.23664,-0.8855
48,-1.00985,-0.1674,-0.0258,5.54707,1.5369,0.95674
