frame,acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z
0,-0.98006,-0.28084,0.13957,10.88041,2.02544,0.12214
1,-1.02368,-0.24105,0.02409,18.52417,7.07379,-5.67939
2,-1.03605,-0.19556,-0.12996,68.26463,26.87023,-3.29771
3,-1.14836,-0.35075,-0.36499,137.11959,53.73028,-8.21374
4,-1.21631,-0.57479,-0.35034,162.21883,78.03562,-37.94402
5,-1.22127,-0.69214,-0.16886,153.69975,97.2112,-81.88295
6,-1.15601,-0.7526,0.01733,176.17303,91.69466,-133.98473
7,-1.09757,-0.81917,0.04476,149.23155,72.78372,-157.1603
8,-1.04492,-0.9292,0.13379,124.37659,63.41985,-150.39186
9,-0.98258,-0.99154,0.38468,86.0458,59.68448,-141.55725
10,-0.88298,-1.09676,0.52091,42.67684,34.66667,-148.58015
11,-0.7876,-1.02026,0.4637,-28.30534,-3.49109,-169.26209
12,-0.62036,-0.90145,0.42033,-41.77099,-51.06361,-194.64631
13,-0.44767,-0.81608,0.38688,-74.9313,-81.65903,-216.33588
14,-0.26245,-0.68978,0.25602,-133.77099,-86.58524,-240.61069
15,-0.0297,-0.44141,0.16781,-112.54962,-87.52163,-252.18321
16,0.18213,-0.25496,0.09627,-62.20865,-98.70738,-238.1374
17,0.2509,-0.14282,-0.10164,-40.84478,-120.31552,-207.80662
18,0.17952,0.05298,-0.20508,-7.85751,-144.40712,-176.73282
19,0.11279,0.25016,-0.42651,-0.86514,-173.99491,-138.73791
20,-0.09302,0.22656,-0.55908,8.61069,-198.12723,-91.45038
21,-0.29362,0.29118,-0.70589,17.47583,-208.99746,-46.00509
22,-0.4987,0.24618,-0.88192,41.97455,-191.53181,-3.49109
23,-0.63981,0.06478,-0.83032,107.09415,-143.54198,35.13486
24,-0.76253,-0.09033,-0.94588,136.60051,-91.80662,83.23664
25,-0.91081,-0.26587,-0.91374,143.20611,-48.36641,137.51654
26,-1.04777,-0.49927,-1.09513,130.48346,-12.39695,193.5369
27,-1.11629,-0.59196,-1.1132,101.96438,33.8117,227.257
28,-1.12516,-0.62533,-1.18278,74.38168,85.25191,236.33588
29,-1.12736,-0.72754,-1.0695,84.50891,135.80662,223.64377
30,-0.9987,-0.77808,-0.90959,120.72265,180.11196,169.77099
31,-0.72648,-0.7666,-0.52433,193.46565,204.21374,84.13232
32,-0.37736,-0.94434,-0.37264,187.82697,186.70738,6.19847
33,-0.13761,-0.70109,-0.06055,132.27481,153.80153,-38.41221
34,0.04842,-0.58545,-0.01164,117.63868,96.54962,-69.22137
35,0.2002,-0.47453,-0.00529,30.48346,39.88804,-72.8855
36,0.28149,-0.43221,-0.14193,-17.64886,-9.59796,-53.22137
37,0.28206,-0.54386,-0.36182,-24.35623,-32.91603,-24.54962
38,0.23633,-0.58187,-0.44548,-23.69466,-32.36641,1.46565
39,0.14176,-0.5249,-0.37647,3.47074,-32.8855,18.96183
40,0.04468,-0.47152,-0.24162,16.0916,-47.75573,33.77099
41,-0.06014,-0.48372,-0.17041,37.97455,-73.16031,55.81679
42,-0.32959,-0.47119,0.02523,13.45547,-107.87786,90.32061
43,-0.53743,-0.56934,-0.06429,4.07125,-155.96947,123.35878
44,-0.99438,-0.54338,0.10897,-1.0687,-201.25191,164.70229
45,-1.37183,-0.65601,-0.13468,-27.82697,-237.38422,198.79898
46,-1.54378,-0.74862,-0.3221,-65.00763,-206.91094,172.73282
47,-1.6818,-0.55623,-0.15552,32.24427,-153.04835,140.50891
48,-1.91675,-0.14624,-1.22827,71.52163,-131.30789,92.37659
49,-1.33976,-1.35278,-0.79997,162.80916,5.43511,4.06107
50,-0.87687,-0.00952,0.51082,-108.86514,15.70483,-12.86514
51,-0.77946,-0.07194,0.53117,-11.01272,3.63359,3.06361
