frame,acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z
0,-0.97583,-0.29159,0.25309,-5.35369,3.52163,-2.39186
1,-0.9943,-0.39372,0.29452,-40.47837,2.67684,-10.70738
2,-0.98332,-0.55461,0.30387,-96.28499,-0.40712,-28.0916
3,-1.02051,-0.58854,0.2797,-232.10178,-7.07379,-41.56743
4,-0.955,-0.50252,0.21745,-256.46819,-7.27735,-49.80153
5,-0.89559,-0.63062,0.17847,-194.51399,-7.24682,-57.68957
6,-0.87052,-0.81006,-0.08211,-168.0,-8.64122,-60.69211
7,-0.94694,-1.01424,-0.33748,-177.67939,1.08906,-70.77863
8,-1.07674,-1.03866,-0.50382,-216.14249,31.00254,-78.68702
9,-1.1971,-1.03882,-0.61613,-214.1883,82.43257,-91.257
10,-1.27287,-0.92017,-0.68254,-237.36387,130.72774,-79.40967
11,-1.16292,-0.55754,-0.60042,-297.74046,175.66412,-60.54962
12,-0.80273,-0.18465,-0.25203,-259.6743,172.99746,-36.19338
13,-0.48641,0.18335,-0.03605,-213.26209,119.54198,0.06107
14,-0.33366,0.19743,-0.06209,-129.93384,54.39186,29.63868
15,-0.1748,0.22502,-0.16333,-33.33333,29.38422,22.54453
16,-0.11304,0.31632,-0.41935,-13.94402,10.07634,5.82188
17,-0.10148,0.60677,-0.51375,-4.75318,8.95674,-5.58779
18,-0.11882,0.73673,-0.63208,0.12214,2.64631,2.23919
19,-0.1661,0.77759,-0.63997,-7.04326,-7.94911,24.61069
20,-0.18327,0.70882,-0.67708,-11.68448,-20.25445,47.57252
21,-0.19141,0.72632,-0.76367,-21.91349,-27.74555,63.82697
22,-0.23039,0.72021,-0.7714,-12.71247,-35.68448,85.33333
23,-0.26172,0.69613,-0.80892,-13.5369,-33.41476,101.01781
24,-0.2395,0.6862,-0.69922,1.10941,-35.22646,116.01018
25,-0.19523,0.58765,-0.56632,10.75827,-41.82188,133.61832
26,-0.17773,0.32967,-0.67,25.67939,-69.02799,148.743
27,-0.16463,0.14372,-0.78931,32.38677,-72.22392,137.77099
28,-0.13704,-0.08244,-0.90951,25.22137,-68.48855,119.53181
29,-0.06063,-0.20052,-1.02808,33.22137,-51.54198,81.04835
30,0.00659,-0.17733,-1.007,35.75573,-24.68193,39.14504
31,0.04736,-0.05843,-0.84106,28.12214,-11.0229,5.80153
32,-0.01644,0.03947,-0.63892,40.9771,-5.16031,-23.27735
33,-0.06893,0.09408,-0.60506,61.16031,-16.02036,-42.9313
34,-0.12427,0.0389,-0.49593,57.02799,-29.60814,-40.77354
35,-0.26066,8e-05,-0.7596,48.9771,-59.04326,-47.03308
36,-0.25968,-0.02507,-0.68083,32.61069,-71.79644,-37.29262
37,-0.44385,-0.07772,-0.76733,22.51399,-95.24682,-28.39695
38,-0.59261,-0.1416,-0.7937,71.00254,-105.00763,-22.58524
39,-0.60954,-0.28548,-0.7028,104.76336,-102.20865,-13.04835
40,-0.77295,-0.34465,-0.79777,108.14249,-113.87277,-0.51908
41,-0.8326,-0.37817,-0.64852,77.78117,-106.43257,27.12468
42,-0.93644,-0.43913,-0.69385,99.74555,-109.82188,42.63613
43,-0.94287,-0.52824,-0.42163,135.85751,-103.33842,52.13232
44,-1.07951,-0.52881,-0.44897,108.35623,-111.07379,61.92366
45,-1.08008,-0.48136,-0.22282,107.28753,-83.35878,70.6972
46,-1.07153,-0.41292,-0.11043,151.93893,-46.47328,65.41476
47,-1.07178,-0.43766,0.03597,118.2799,-30.89059,48.68193
48,-1.02824,-0.46379,0.05965,60.99746,-15.80662,27.98982
49,-1.02482,-0.30697,0.11076,19.05343,-18.2799,11.22646
50,-0.9738,-0.24382,0.20671,60.70229,-12.93639,-6.53435
51,-0.95817,-0.28906,0.22412,53.52672,-13.36387,-4.27481
52,-0.98381,-0.21672,0.24056,25.96438,-14.23919,3.95929
53,-1.04744,-0.17871,0.13346,29.75064,-5.44529,6.79898
