frame,acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z
0,-0.97664,-0.21647,0.21411,0.94656,1.60814,0.4173
1,-0.98608,-0.24821,0.23022,-0.18321,1.82188,2.4631
2,-0.96061,-0.35994,0.2356,9.3028,-1.08906,-9.75064
3,-0.9751,-0.63525,0.28369,55.97964,-7.53181,-55.93893
4,-0.99699,-0.86751,0.3964,123.3486,-23.93893,-134.97201
5,-0.87142,-0.69678,0.54045,138.31043,-55.31807,-179.0229
6,-0.74308,-0.37378,0.44889,144.35623,-63.88804,-141.76081
7,-0.7229,-0.29118,0.53662,155.20611,-35.77608,-77.52672
8,-0.7168,-0.38582,0.66935,153.51654,-6.10687,-30.83969
9,-0.67798,-0.41219,1.13525,162.74809,-15.43003,-26.53435
10,-0.67684,-0.52271,1.59985,128.36641,-113.2112,-32.98728
11,-0.70028,-0.41602,1.8728,6.12723,-243.6743,-24.62087
12,-0.56909,-0.43677,1.77604,-48.743,-327.36896,-32.13232
13,-0.41121,-0.35815,1.44491,-88.73282,-359.22646,-45.8626
14,-0.30363,-0.36963,0.88062,-107.30789,-358.57506,-58.32061
15,-0.1792,-0.27515,0.45524,-121.66921,-325.15013,-70.11705
16,-0.02922,-0.18058,0.01766,-91.3486,-263.86768,-75.61323
17,0.22428,0.12166,-0.56584,-16.76336,-174.20865,-59.85751
18,0.48511,0.11645,-0.87809,-19.69466,-40.75318,-2.86005
19,0.73519,-0.18579,-0.38175,-22.10687,50.42239,26.64631
20,0.82658,-0.27694,-0.2522,18.2799,70.01527,12.11196
21,0.63102,-0.22201,-0.29142,11.37913,103.79644,19.09415
22,0.50757,-0.33561,-0.1722,15.4402,159.92875,43.38931
23,0.38729,-0.32406,0.35457,12.20356,206.65649,69.23155
24,0.31307,-0.55192,0.60474,-51.23664,216.58015,90.63613
25,0.24935,-0.56071,0.92855,-32.07125,198.2799,107.31807
26,0.10034,-0.69881,0.90861,-13.00763,185.40458,109.0687
27,-0.0284,-0.79574,0.84269,-43.40967,172.38677,133.25191
28,-0.27287,-1.04036,1.04574,-96.89567,140.63104,149.87277
29,-0.30575,-1.07251,0.75041,-186.3715,84.22392,166.06616
30,-0.45972,-0.89168,0.51562,-136.87532,37.98473,173.51654
31,-0.6049,-1.03923,0.27572,-92.84478,19.30789,161.54707
32,-0.7277,-0.85018,0.25757,-65.12977,15.0229,157.10941
33,-0.88298,-0.927,0.25155,-59.41985,7.7659,138.96183
34,-0.93604,-0.71322,0.16903,-55.83715,-12.05089,101.27226
35,-0.92114,-0.59367,0.13151,-13.33333,-8.37659,76.24428
36,-0.93978,-0.4978,0.13973,1.67939,-1.51654,62.41221
37,-0.96672,-0.38688,0.16618,17.9542,1.09924,53.78117
38,-0.97705,-0.40682,0.17879,17.7201,0.51908,50.59542
