frame,acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z
0,-1.00252,-0.13289,0.22681,2.20865,1.7201,-2.74809
1,-1.00122,-0.14787,0.22957,2.4631,1.57761,-2.83969
2,-1.0026,-0.13444,0.21541,-1.8117,0.86514,-1.3028
3,-1.00326,-0.12069,0.19686,5.56743,2.49364,-0.96692
4,-1.08016,0.03564,0.00212,40.12214,18.49364,-1.64885
5,-1.10156,-0.24552,-0.20085,138.19847,54.65649,-13.44529
6,-1.31348,-1.06071,-0.34587,76.98728,81.32316,-21.42494
7,-1.4012,-1.35026,0.24438,-26.52417,120.11196,-107.9084
8,-1.42025,-1.42757,0.59513,33.70992,112.37659,-298.94148
9,-1.68018,-1.62695,1.02718,37.93384,-2.76845,-442.94148
10,-1.60197,-1.34131,1.17594,-7.81679,-153.32316,-492.61069
11,-1.21867,-0.91593,0.83675,-16.6514,-282.30025,-456.67176
12,-1.03369,-0.59635,0.07381,-24.02036,-330.7888,-357.486
13,-0.69149,-0.46354,-0.51229,-26.41221,-270.01527,-265.3028
14,-0.39258,-0.18856,-0.85604,-24.47837,-182.87023,-181.78117
15,-0.19214,-0.09342,-0.96444,-36.54962,-96.76336,-94.63613
16,0.0979,-0.24756,-0.7557,-47.39949,-29.96438,-12.47837
17,0.56755,-0.00269,-0.79004,-33.47583,-0.40712,-6.02545
18,0.55306,-0.21322,-0.77035,-20.89567,7.93893,16.29517
19,0.43083,-0.23161,-0.74414,-10.59542,12.54962,13.92366
20,0.54924,-0.25049,-0.70312,-0.9771,9.28244,11.56234
21,0.55062,-0.27498,-0.72852,2.0458,3.83715,9.0687
22,0.50936,-0.25651,-0.71427,1.76081,3.21629,2.2799
23,0.47884,-0.23909,-0.70605,10.23919,2.34097,2.34097
24,0.30135,-0.12622,-0.837,18.65649,-0.01018,8.54962
25,-0.15234,-0.11206,-0.76196,35.48092,23.89822,49.58779
26,-0.37126,-0.21517,-0.55672,6.00509,79.49109,135.68448
27,-0.45695,-0.21452,-0.3256,19.29771,130.6972,227.91858
28,-0.66569,-0.49813,-0.01343,47.86768,163.1145,355.14504
29,-0.87834,-0.94173,0.27393,30.47328,152.16285,490.08651
30,-1.35474,-1.43392,0.36084,33.91349,71.13486,558.51399
31,-1.87264,-1.21362,0.50203,134.53435,-53.51654,491.64377
32,-1.99585,-1.63013,0.25008,89.61832,-102.9313,384.5598
33,-1.29102,-1.07894,0.2085,-78.68702,-100.76336,183.7659
34,-1.19548,-0.39591,0.05241,-4.61069,-97.9542,-16.18321
35,-1.05827,-0.57772,0.00106,176.11196,-86.71756,-70.32061
36,-1.4152,-0.12248,-1.01139,97.61832,-54.43257,-2.77863
37,-0.97078,-0.31437,0.212,-85.7201,10.48346,24.81425
38,-0.91976,-0.11589,0.51123,-88.07125,-4.05089,-1.19084
39,-0.92725,0.09766,0.32308,-50.19847,-2.31043,-3.62341
40,-1.05412,0.08805,0.19832,14.92112,3.35878,-11.53181
