frame,acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z
0,-0.98421,-0.24381,0.06006,38.35114,2.94148,2.14758
1,-0.98918,-0.25041,0.04956,75.00254,7.48092,1.31298
2,-0.97762,-0.29362,0.04395,112.45802,19.31807,-1.77099
3,-0.96037,-0.51986,0.03914,137.03817,29.18066,-11.45038
4,-0.88704,-0.72795,0.15625,124.21374,27.19593,-26.86005
5,-0.84212,-0.941,0.41984,94.26972,6.35115,-64.39695
6,-0.84676,-0.93717,0.68612,31.87786,-37.36387,-105.64886
7,-0.98576,-1.04053,0.84855,26.55471,-94.09669,-149.3028
8,-1.14933,-1.13517,0.94938,16.0916,-158.53435,-192.90585
9,-1.23291,-1.21175,0.98706,1.59796,-220.8855,-226.86005
10,-1.07821,-1.02645,0.87769,-34.36132,-267.3486,-246.82952
11,-0.73055,-0.82056,0.64372,-28.20356,-278.25954,-242.12723
12,-0.36353,-0.54492,0.35254,-27.60305,-263.33842,-217.13995
13,-0.07804,-0.31014,0.02856,-11.04326,-223.80662,-179.77608
14,0.17839,-0.17212,-0.26823,23.46056,-165.5369,-123.38931
15,0.48267,-0.08691,-0.4742,34.6972,-88.42748,-59.35878
16,0.76091,-0.29077,-0.3999,24.91603,-16.05089,1.59796
17,0.92773,-0.49552,-0.18628,21.3944,14.16794,16.70229
18,0.92708,-0.58415,-0.02677,6.34097,8.75318,11.38931
19,0.84741,-0.50187,-0.0634,-0.58015,-5.33333,-5.96438
20,0.81356,-0.45288,-0.07699,-1.38422,-1.68957,-4.78371
21,0.83765,-0.44198,-0.07983,-2.48346,2.52417,-0.67176
22,0.86019,-0.47689,-0.07617,-2.71756,3.46056,0.49873
23,0.86922,-0.47819,-0.07861,-2.09669,1.94402,-0.21374
24,0.85571,-0.46956,-0.07048,-2.31043,0.0,-1.08906
25,0.82414,-0.42993,-0.11572,-2.63613,1.54707,0.69211
26,0.77816,-0.41121,-0.19425,-3.81679,12.25445,8.48855
27,0.68677,-0.37728,-0.28345,-16.95674,42.41221,24.93639
28,0.61548,-0.38167,-0.19556,-20.73282,83.1145,54.53435
29,0.52718,-0.43311,-0.03524,-17.10941,114.12723,88.95674
30,0.41593,-0.57544,0.12321,-1.47583,133.01781,119.88804
31,0.23234,-0.63216,0.24674,-6.51399,144.64122,142.2799
32,-0.00977,-0.78337,0.38647,-19.07379,153.10942,169.54707
33,-0.26945,-0.77222,0.44548,-18.1883,152.53944,200.18321
34,-0.55778,-0.889,0.47355,-43.98982,148.67176,220.20356
35,-0.8348,-0.95736,0.49333,-19.10433,132.15267,229.63868
36,-1.04557,-0.9506,0.42749,-6.86005,115.89822,222.81934
37,-1.14193,-0.89868,0.40348,15.87786,93.5369,196.5598
38,-1.09342,-0.84367,0.3571,14.12723,64.25445,152.07125
39,-1.04533,-0.70776,0.33797,12.72265,32.64122,102.56489
40,-0.97575,-0.60547,0.23796,13.31298,9.25191,72.58015
41,-0.94613,-0.52629,0.20475,3.59288,1.69975,58.15776
42,-0.94043,-0.49674,0.15356,9.47583,-0.72265,43.12468
