frame,acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z
0,-0.97697,0.08415,0.3632,13.96438,2.91094,0.71247
1,-0.97835,0.07292,0.34758,7.98982,2.83969,1.69975
2,-0.97274,0.1259,0.35352,-1.17048,1.8117,1.486
3,-0.97974,0.13102,0.33268,-4.75318,1.70992,2.31043
4,-0.98031,0.15129,0.34261,-5.27226,-0.13232,1.07888
5,-0.97518,0.14722,0.32454,6.6056,-0.86514,-10.26972
6,-0.96143,0.07577,0.36068,31.10433,-1.93384,-28.99746
7,-0.86027,-0.3151,0.38647,34.75827,-1.84224,-62.11705
8,-0.77002,-0.54744,0.35449,10.0458,-21.28244,-131.41985
9,-0.81689,-0.34603,0.3138,-62.20865,-12.14249,-133.89313
10,-1.53727,-0.11564,0.60815,-61.41476,-12.76336,-67.75572
11,-1.59627,-0.10726,0.60645,-38.89059,2.64631,24.56997
12,-1.04858,0.03508,0.29215,-55.70483,11.75572,103.81679
13,-0.34839,0.19661,0.08993,-37.16031,4.25445,118.87023
14,-0.20695,0.1119,0.01408,-52.10178,-9.56743,80.38677
15,-2.30648,-0.91219,0.96655,47.88804,-17.22137,-2.10687
16,-0.94393,1.12793,0.31584,2.52417,3.51145,-137.93384
17,-1.5979,-0.52954,0.92985,254.58524,14.92112,5.54707
18,-0.88574,-0.57113,0.3064,12.12214,18.2799,56.2341
19,0.00374,-0.9965,0.38997,87.52163,-16.47837,-47.62341
20,-0.39722,-0.63249,-0.03149,-118.82952,-26.62595,-141.97455
21,-1.7889,0.25928,0.80282,-93.46565,10.81934,-70.05598
22,-1.74268,0.16325,0.8466,-18.3715,0.95674,23.31807
23,-0.85677,-0.24178,0.19246,-22.0458,-22.66667,138.70738
24,-0.2137,-0.00537,-0.20402,-174.0458,-3.84733,134.99237
25,-0.09302,0.5223,0.13289,3.93893,14.83969,44.31552
26,-1.79948,-1.34334,0.5612,212.0916,-34.79898,-99.45038
27,-1.95329,0.83919,0.7605,17.55725,14.54453,-74.48346
28,-1.71558,-0.23535,0.68628,41.78117,19.69466,69.50636
29,-0.50684,-0.58236,0.21965,32.02036,27.40967,92.85496
30,0.1263,-1.03752,0.31812,13.27226,-12.37659,-86.18829
31,-0.2465,-0.12948,-0.13965,-106.35114,8.89567,-106.4631
32,-1.90063,0.14771,0.91317,-54.20865,-12.27481,-77.17048
33,-1.78402,0.11702,0.39632,-45.8626,-9.57761,1.80153
34,-1.21419,0.24325,0.32739,-10.12723,-19.74555,68.54962
35,-0.42285,-0.32902,-0.10124,5.67939,-20.91603,96.11196
36,-0.4113,0.12866,0.18986,61.2112,-11.97964,37.13995
37,-1.64201,-0.53223,0.71574,145.80153,-0.46819,-18.89059
38,-0.88892,0.21183,0.34961,-24.20356,-0.76336,10.72774
39,-0.9515,-0.10758,0.23739,37.41476,11.64377,53.40458
40,-0.88249,-0.31535,0.47363,-48.34606,8.19338,47.09415
41,-1.0127,0.08545,0.33016,-24.59033,-2.96183,-2.7888
42,-0.9751,0.16357,0.3938,-19.94911,1.49618,10.25954
43,-0.98421,0.00798,0.34424,-13.45547,2.09669,15.41985
44,-0.97526,0.15918,0.42489,-7.96947,0.60051,3.84733
45,-0.97974,0.06681,0.37516,15.80662,1.04835,-2.10687
46,-0.97876,0.05493,0.34798,-6.68702,0.28499,-0.31552
47,-0.97453,0.13053,0.37394,-5.18066,-0.59033,-0.75318
48,-0.98161,0.08187,0.35824,4.59033,-1.52672,-2.12723
