frame,acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z
0,-0.927,-0.3492,-0.08586,20.9771,7.91857,6.67685
1,-0.92554,-0.3702,-0.04533,-16.25445,-6.64631,7.9084
2,-0.93522,-0.34033,-0.0529,-30.03562,-12.49873,7.4402
3,-0.94678,-0.40617,-0.08464,-15.29771,-8.79389,2.40204
4,-0.96004,-0.42065,-0.17204,-41.08906,-4.26463,-7.64377
5,-0.98731,-0.54069,-0.20898,-61.82188,6.26972,-24.10178
6,-1.04875,-0.77393,-0.37866,-116.08143,29.02799,-57.11959
7,-1.11133,-0.86182,-0.61125,-190.56489,76.59033,-108.15267
8,-1.1049,-0.90275,-0.78019,-228.0916,135.91858,-163.41985
9,-0.88786,-0.67627,-0.85107,-233.90331,195.04326,-183.54198
10,-0.61133,-0.50472,-0.8741,-204.08142,217.31298,-184.01018
11,-0.33862,-0.24674,-0.85929,-186.02544,210.86005,-174.14758
12,-0.17896,-0.01375,-0.78019,-173.77099,186.32061,-142.75827
13,-0.03744,0.25537,-0.60295,-145.70992,139.64377,-101.01781
14,-0.03117,0.3042,-0.59839,-124.34606,89.73028,-58.1374
15,0.08765,0.69661,-0.37321,-112.78371,52.82443,-28.5598
16,0.05558,0.95483,-0.19393,-83.37914,-6.0458,33.26209
17,-0.11434,1.00122,-0.20972,-62.3715,-73.83206,92.64122
18,-0.29036,0.92122,-0.32153,-42.08651,-119.05343,131.95929
19,-0.37728,0.87923,-0.4904,-50.03562,-139.80662,148.31552
20,-0.3418,0.82048,-0.63843,-65.3944,-143.09415,164.76336
21,-0.33,0.60889,-0.72933,-32.92621,-145.92366,186.44275
22,-0.29655,0.24227,-0.80924,4.43766,-134.26972,195.61323
23,-0.1967,-0.08887,-0.92871,9.16031,-116.0916,172.78372
24,-0.0472,-0.17342,-0.99243,6.76845,-86.49364,132.61069
25,0.07023,-0.16097,-1.00741,5.22137,-68.35623,99.41985
26,0.11605,-0.18433,-1.09253,10.11705,-58.0458,70.68702
27,0.13721,-0.11971,-1.10864,3.59288,-31.69466,35.95929
28,0.14893,-0.01562,-1.0472,-0.25445,-6.56489,7.45038
29,0.15527,0.10343,-0.96362,-4.90585,8.8855,-10.70738
30,0.13143,0.14526,-0.9047,-5.3944,16.05089,-21.82188
31,0.04541,0.13371,-0.85742,-13.47583,30.56489,-43.07379
32,-0.04867,0.0896,-0.5376,-33.23155,44.80407,-84.51908
33,-0.09408,0.12589,-0.30933,-27.55216,42.35114,-116.82443
34,-0.11377,0.15031,-0.33659,-4.36641,12.6514,-135.08397
35,-0.20166,0.12598,-0.37191,20.72265,-33.13995,-146.14758
36,-0.26839,0.22762,-0.51237,43.72519,-90.45293,-151.52163
37,-0.49674,0.20435,-0.72217,65.26209,-142.42239,-125.97455
38,-0.7255,0.2102,-0.81714,93.0687,-174.41221,-98.58524
39,-0.93457,0.20418,-0.93473,104.11196,-185.68957,-48.91603
40,-1.22314,0.08447,-0.96021,92.34606,-189.35369,-9.20102
41,-1.28198,0.06958,-0.85002,72.54962,-164.58015,4.62086
42,-1.22949,0.17301,-0.80835,55.77608,-110.514,12.0
43,-1.07878,-0.05819,-0.57023,87.36896,-55.07379,21.49618
44,-1.02775,-0.26546,-0.38485,69.83206,-21.16031,22.32061
45,-0.99626,-0.25488,-0.31242,41.05852,-0.43766,3.50127
