frame,rgb_z_0,rgb_z_1,rgb_z_2,rgb_z_3,rgb_z_4,rgb_z_5,rgb_z_6,rgb_z_7,rgb_z_8,rgb_z_9,rgb_z_10,rgb_z_11,rgb_z_12,rgb_z_13
0,0.0,0.9150090415913203,0.9238410596026488,1.0,0.8429054054054054,0.9587813620071683,0.9482758620689659,0.8296703296703296,0.6666666666666647,0.47826086956522174,1.0,0.4999999999999958,1.0,1.0
1,0.0,0.9150090415913203,0.9238410596026488,0.9559633027522939,0.8429054054054054,0.9587813620071683,0.9482758620689659,0.8296703296703296,0.6666666666666647,0.47826086956522174,0.4999999999999963,0.4999999999999958,0.0,1.0
2,0.0,0.9150090415913203,0.9238410596026488,1.0,0.804054054054054,0.9587813620071683,0.9482758620689659,0.8296703296703296,0.6666666666666647,0.47826086956522174,1.0,0.4999999999999958,1.0,1.0
3,0.0,0.9150090415913203,0.9238410596026488,1.0,0.804054054054054,0.9587813620071683,0.9482758620689659,0.8296703296703296,0.6666666666666647,0.47826086956522174,0.4999999999999963,0.4999999999999958,1.0,0.0
4,0.0,0.9150090415913203,0.9238410596026488,1.0,0.804054054054054,0.9587813620071683,0.9482758620689659,0.8296703296703296,0.6666666666666647,0.47826086956522174,0.4999999999999963,0.4999999999999958,0.0,1.0
5,0.0,0.9150090415913203,0.9238410596026488,1.0,0.804054054054054,0.9587813620071683,0.9482758620689659,0.8296703296703296,0.6666666666666647,0.47826086956522174,0.4999999999999963,0.4999999999999958,0.0,1.0
6,0.0,0.9150090415913203,0.9238410596026488,1.0,0.804054054054054,0.9587813620071683,0.9482758620689659,0.8296703296703296,0.6666666666666647,0.47826086956522174,0.4999999999999963,0.4999999999999958,0.0,1.0
7,0.0,0.9150090415913203,0.9238410596026488,1.0,0.766891891891892,0.9587813620071683,0.9482758620689659,0.8296703296703296,0.6666666666666647,0.47826086956522174,0.4999999999999963,0.4999999999999958,0.0,1.0
8,0.0,0.9150090415913203,0.9238410596026488,1.0,0.766891891891892,0.9587813620071683,0.9482758620689659,0.7875457875457874,0.6666666666666647,0.47826086956522174,0.0,0.4999999999999958,0.0,1.0
9,0.0,0.9150090415913203,0.9602649006622519,0.9559633027522939,0.7314189189189189,0.9587813620071683,0.9482758620689659,0.7875457875457874,0.6666666666666647,0.47826086956522174,1.0,0.4999999999999958,0.0,0.0
10,0.0,0.9150090415913203,0.9238410596026488,1.0,0.804054054054054,0.9587813620071683,0.9482758620689659,0.7472527472527473,0.6666666666666647,0.47826086956522174,0.4999999999999963,0.4999999999999958,1.0,1.0
11,0.0,0.9150090415913203,0.9238410596026488,0.9155963302752292,0.880067567567568,1.0,1.0,0.9560439560439563,0.6666666666666647,0.47826086956522174,1.0,0.4999999999999958,0.0,1.0
