frame,rgb_z_0,rgb_z_1,rgb_z_2,rgb_z_3,rgb_z_4,rgb_z_5,rgb_z_6,rgb_z_7,rgb_z_8,rgb_z_9,rgb_z_10,rgb_z_11,rgb_z_12,rgb_z_13,rgb_z_14,rgb_z_15,rgb_z_16,rgb_z_17
0,0.8011527377521614,1.0,1.0,1.0,0.8628571428571438,0.7785145888594162,0.4347826086956518,0.28498727735368984,0.7356321839080447,0.6619718309859164,0.5,0.819548872180452,0.3931623931623933,0,0.6562500000000002,0.8899835796387517,0.5871559633027497,0.8218125960061443
1,0.8011527377521614,1.0,1.0,1.0,0.8628571428571438,0.7785145888594162,0.4347826086956518,0.28498727735368984,1.0,0.6619718309859164,0.5,0.819548872180452,0.3931623931623933,0,0.6562500000000002,0.8899835796387517,0.5871559633027497,0.7880184331797236
2,0.8011527377521614,0.8217054263565887,1.0,1.0,1.0,0.7785145888594162,0.4347826086956518,0.2239185750636139,1.0,1.0,0.5,0.819548872180452,0.3931623931623933,0,0.6562500000000002,0.8899835796387517,0.47706422018348593,0.8218125960061443
3,0.8011527377521614,1.0,1.0,1.0,1.0,0.7785145888594162,0.4347826086956518,0.2239185750636139,0.7356321839080447,0.3380281690140836,0.5,0.819548872180452,0.3931623931623933,0,0.6562500000000002,0.8899835796387517,0.47706422018348593,0.8218125960061443
4,0.770893371757925,1.0,1.0,1.0,0.8628571428571438,0.7785145888594162,0.4347826086956518,0.28498727735368984,1.0,0.6619718309859164,0.5,0.819548872180452,0.3931623931623933,0,0.32812499999999734,0.8899835796387517,0.47706422018348593,0.8218125960061443
5,0.8011527377521614,1.0,1.0,1.0,0.8628571428571438,0.7785145888594162,0.4347826086956518,0.28498727735368984,1.0,0.6619718309859164,0.5,0.819548872180452,0.3931623931623933,0,0.6562500000000002,0.8899835796387517,0.47706422018348593,0.9278033794162828
6,0.8011527377521614,1.0,1.0,1.0,0.8628571428571438,0.8076923076923077,0.4347826086956518,0.28498727735368984,0.7356321839080447,1.0,0.5,0.819548872180452,0.58974358974359,0,1.0,0.8899835796387517,0.47706422018348593,0.9278033794162828
7,0.8011527377521614,1.0,1.0,1.0,0.8628571428571438,0.8076923076923077,0.4347826086956518,0.3435114503816798,1.0,0.6619718309859164,0.5,0.819548872180452,0.3931623931623933,0,0.6562500000000002,0.8899835796387517,0.47706422018348593,0.9278033794162828
8,0.8011527377521614,1.0,1.0,1.0,0.8628571428571438,0.8076923076923077,0.4347826086956518,0.40458015267175573,1.0,0.6619718309859164,0.5,0.819548872180452,0.3931623931623933,0,0.6562500000000002,0.8899835796387517,0.47706422018348593,0.9278033794162828
9,0.8011527377521614,1.0,1.0,1.0,0.7371428571428567,0.8076923076923077,0.4347826086956518,0.2239185750636139,1.0,0.6619718309859164,0.5,0.819548872180452,0.3931623931623933,0,0.6562500000000002,0.8899835796387517,0.47706422018348593,0.9631336405529957
10,0.8011527377521614,1.0,1.0,0.8883720930232565,0.7371428571428567,0.8076923076923077,0.4347826086956518,0.2239185750636139,0.7356321839080447,0.6619718309859164,0.5,0.819548872180452,0.58974358974359,0,0.6562500000000002,0.9638752052545152,0.47706422018348593,0.8571428571428571
11,0.8011527377521614,1.0,0.7643979057591608,0.7860465116279064,0.605714285714285,0.8076923076923077,0.5531400966183577,0.3435114503816798,0.7356321839080447,0.6619718309859164,0.5,0.819548872180452,0.7948717948717935,0,0.6562500000000002,0.9638752052545152,0.47706422018348593,0.8571428571428571
12,0.8011527377521614,1.0,0.649214659685863,0.6790697674418597,0.4799999999999999,0.8076923076923077,0.6739130434782612,0.46564885496183256,0.7356321839080447,0.3380281690140836,0.5,0.819548872180452,0.58974358974359,0,0.6562500000000002,0.9638752052545152,0.7981651376146767,0.9631336405529957
13,0.8011527377521614,1.0,0.649214659685863,0.5767441860465112,0.605714285714285,0.839522546419098,0.7367149758454105,0.6564885496183211,0.7356321839080447,0.3380281690140836,0.5,1.0,0.7948717948717935,0,0.6562500000000002,0.9638752052545152,0.7981651376146767,0.8571428571428571
14,1.0,0.8217054263565887,0.649214659685863,0.5767441860465112,0.35999999999999943,0.839522546419098,0.7367149758454105,0.72264631043257,1.0,0.3380281690140836,0.5,0.819548872180452,0.58974358974359,0,0.6562500000000002,0.9638752052545152,1.0,1.0
15,0.8976945244956775,0.6511627906976747,0.539267015706805,0.47906976744185964,0.35999999999999943,0.839522546419098,0.8647342995169084,0.9287531806615782,0.48275862068965447,0.3380281690140836,0.5,1.0,0.7948717948717935,0,0.6562500000000002,0.926108374384236,0.7981651376146767,0.8909370199692784
16,0.8976945244956775,0.6511627906976747,0.4293193717277488,0.3813953488372097,0.4799999999999999,0.839522546419098,0.9323671497584547,1.0,0.48275862068965447,0.3380281690140836,0.5,1.0,0.58974358974359,0,0.6562500000000002,1.0,1.0,0.7680491551459295
17,0.8011527377521614,0.6511627906976747,0.539267015706805,0.18604651162790645,0.35999999999999943,0.870026525198939,1.0,0.3460559796437658,0.48275862068965447,0.3380281690140836,0.5,1.0,0.58974358974359,0,0.6562500000000002,1.0,0.7981651376146767,0.7680491551459295
18,0.9654178674351587,0.6511627906976747,0.31937172774869077,0.18604651162790645,0.35999999999999943,0.839522546419098,0.21014492753623143,0.3435114503816798,0.24137931034482518,0.3380281690140836,0.5,1.0,0.7948717948717935,0,0.6562500000000002,1.0,0.5871559633027497,0.9631336405529957
19,0.798270893371758,0.6511627906976747,0.20942408376963276,0.18604651162790645,0.24000000000000096,0.8076923076923077,0.21014492753623143,0.3460559796437658,0.48275862068965447,0.3380281690140836,0.5,1.0,0.7948717948717935,0,0.6562500000000002,0.9638752052545152,0.38532110091742955,0.7680491551459295
