frame,rgb_x_0,rgb_x_1,rgb_x_2,rgb_x_3,rgb_x_4,rgb_x_5,rgb_x_6,rgb_x_7,rgb_x_8,rgb_x_9,rgb_x_10,rgb_x_11,rgb_x_12,rgb_x_13,rgb_y_0,rgb_y_1,rgb_y_2,rgb_y_3,rgb_y_4,rgb_y_5,rgb_y_6,rgb_y_7,rgb_y_8,rgb_y_9,rgb_y_10,rgb_y_11,rgb_y_12,rgb_y_13
0,296,296,272,264,272,328,336,336,288,280,288,312,320,312,136,176,200,248,288,200,248,280,288,344,400,280,344,400
1,296,296,272,264,272,328,336,336,288,280,288,312,320,312,136,176,200,248,288,200,248,280,288,344,400,280,344,400
2,296,296,272,264,272,328,336,336,288,280,288,312,320,312,136,176,200,248,288,200,248,280,288,344,400,280,344,400
3,296,296,272,264,272,328,336,336,288,288,288,312,320,312,136,176,200,248,288,200,248,280,288,344,400,280,344,400
4,296,304,272,264,272,328,336,336,288,280,288,312,320,312,136,176,200,248,288,200,240,280,280,344,400,280,344,400
5,304,304,272,264,272,328,336,336,288,280,288,320,320,312,136,184,200,248,288,200,240,280,280,344,400,280,344,400
6,304,304,272,264,272,328,336,336,288,288,288,320,320,312,136,184,200,248,288,200,248,280,288,344,400,288,344,400
7,304,304,272,272,272,336,336,344,288,288,288,320,320,312,136,184,200,248,288,200,248,280,288,344,400,288,344,400
8,304,304,280,272,272,336,344,344,288,288,288,320,320,312,136,184,200,248,288,200,248,280,288,344,400,288,344,400
9,312,312,280,272,272,336,344,344,288,280,288,320,320,312,136,184,200,248,288,200,248,288,288,344,400,288,344,400
10,312,312,280,272,272,336,344,344,296,280,288,320,320,312,136,184,200,248,288,200,248,288,288,344,400,288,344,400
11,312,312,280,272,272,336,344,344,288,280,280,320,320,312,136,184,200,248,288,200,248,288,288,344,400,288,344,400
12,312,312,280,272,272,336,344,344,288,280,280,320,320,312,136,184,200,248,288,200,248,288,288,344,408,288,344,400
13,312,312,280,272,264,336,344,352,288,280,280,320,320,312,136,184,200,248,288,200,248,288,288,352,424,288,352,400
