frame,rgb_x_0,rgb_x_1,rgb_x_2,rgb_x_3,rgb_x_4,rgb_x_5,rgb_x_6,rgb_x_7,rgb_x_8,rgb_x_9,rgb_x_10,rgb_x_11,rgb_x_12,rgb_x_13,rgb_y_0,rgb_y_1,rgb_y_2,rgb_y_3,rgb_y_4,rgb_y_5,rgb_y_6,rgb_y_7,rgb_y_8,rgb_y_9,rgb_y_10,rgb_y_11,rgb_y_12,rgb_y_13
0,288,288,256,256,256,320,328,328,272,280,288,312,304,304,152,200,216,256,296,216,256,296,304,360,424,304,360,424
1,288,288,256,256,256,320,328,328,272,280,288,312,304,304,152,200,216,256,296,216,256,296,304,360,424,304,360,424
2,288,288,256,256,256,320,328,328,272,280,288,304,304,304,152,200,216,256,296,216,256,296,304,360,432,304,360,424
3,288,288,256,256,256,320,328,328,272,280,288,304,304,304,152,200,216,256,296,216,256,296,304,360,424,304,360,424
4,288,288,256,256,256,320,328,328,272,280,288,304,304,304,152,200,216,256,296,216,256,296,304,360,432,304,360,424
5,288,288,256,256,256,320,328,328,272,280,288,312,304,304,152,200,216,256,296,216,256,296,304,360,424,304,360,432
6,288,288,256,256,256,320,328,328,272,280,288,312,304,304,152,200,216,256,296,216,256,296,304,360,424,304,360,424
7,288,288,256,256,256,320,328,328,272,280,288,312,304,304,152,200,216,256,296,216,256,296,304,360,432,304,360,424
8,288,288,256,256,256,320,328,328,280,280,288,312,304,304,152,200,216,256,296,216,256,296,304,360,432,304,360,424
9,288,288,256,256,256,320,328,328,280,280,288,312,304,304,152,200,216,264,296,216,256,296,304,360,432,304,360,432
10,288,288,256,256,256,320,328,328,280,280,288,312,304,304,152,200,216,256,296,216,256,296,304,360,432,304,360,432
11,288,288,264,256,256,320,328,328,280,280,288,312,304,304,152,200,216,256,296,216,256,296,304,360,432,304,360,424
12,288,288,264,256,256,320,328,328,280,280,288,312,304,304,152,200,216,256,296,216,256,296,304,360,432,304,360,424
13,288,296,264,256,256,320,328,320,280,280,288,312,312,304,152,200,216,256,288,216,256,288,296,360,432,296,360,424
14,296,296,264,256,256,328,328,312,280,280,288,312,312,304,152,200,208,248,280,216,248,272,296,360,432,288,352,424
15,296,296,264,256,256,328,328,312,280,280,288,312,312,304,152,200,208,248,272,216,248,256,288,352,424,288,352,424
16,296,296,264,256,248,328,328,312,280,280,288,312,312,304,152,200,208,240,272,216,248,256,288,360,424,288,360,424
17,296,296,264,248,248,320,328,312,280,280,288,312,312,304,152,200,208,248,280,208,248,264,296,352,432,288,352,432
18,296,296,264,248,248,320,328,320,272,280,288,304,312,304,152,200,216,256,288,216,256,288,304,360,424,296,360,432
19,296,288,264,248,256,320,328,328,280,280,288,304,312,304,152,200,216,256,288,216,256,296,304,368,424,304,360,432
