frame,rgb_x_0,rgb_x_1,rgb_x_2,rgb_x_3,rgb_x_4,rgb_x_5,rgb_x_6,rgb_x_7,rgb_x_8,rgb_x_9,rgb_x_10,rgb_x_11,rgb_x_12,rgb_x_13,rgb_x_14,rgb_x_15,rgb_x_16,rgb_x_17,rgb_y_0,rgb_y_1,rgb_y_2,rgb_y_3,rgb_y_4,rgb_y_5,rgb_y_6,rgb_y_7,rgb_y_8,rgb_y_9,rgb_y_10,rgb_y_11,rgb_y_12,rgb_y_13,rgb_y_14,rgb_y_15,rgb_y_16,rgb_y_17
0,280,280,256,248,240,304,320,320,264,272,280,304,296,304,280,288,272,296,184,216,216,256,304,216,256,296,296,360,416,296,360,416,176,176,184,184
1,280,280,256,248,240,304,320,320,264,272,280,304,296,304,280,288,264,296,184,216,216,264,304,216,256,296,296,360,416,296,360,416,176,176,184,176
2,280,280,256,248,240,304,320,320,272,272,280,304,304,304,272,288,264,296,184,216,216,264,304,216,256,296,296,360,424,296,360,416,176,176,184,176
3,280,280,256,248,240,304,320,328,272,272,280,304,296,304,272,288,264,296,184,216,216,264,304,216,256,296,304,360,416,296,360,416,176,176,184,176
4,280,280,256,248,240,304,320,328,272,272,280,304,304,304,272,288,264,296,184,216,216,264,304,216,256,296,304,360,416,296,360,416,176,176,184,184
5,280,280,256,248,248,304,320,320,272,272,280,304,296,304,272,288,264,296,184,216,216,264,304,216,256,288,296,360,416,296,360,416,176,176,184,184
6,280,280,256,248,248,304,320,328,272,272,280,304,304,304,272,288,264,296,184,216,216,264,304,216,256,296,296,360,416,296,360,416,176,176,184,176
7,280,280,256,256,256,304,320,328,272,272,280,304,304,304,272,288,264,296,184,216,216,264,304,216,256,296,296,360,416,296,360,408,176,176,184,176
8,280,280,256,256,264,304,320,328,272,272,280,304,304,304,280,288,264,296,184,216,216,264,304,216,256,296,296,360,408,296,360,408,176,176,184,176
9,280,280,256,264,272,312,320,328,272,272,280,304,304,312,280,288,272,296,184,216,216,256,296,216,256,296,296,360,416,296,360,408,176,176,184,176
10,288,288,256,264,272,312,320,328,272,272,280,304,304,312,280,288,272,296,184,216,216,248,280,216,256,296,296,360,408,296,352,400,176,176,176,176
11,288,288,264,264,272,312,320,328,272,272,280,304,312,312,280,288,272,296,176,208,208,240,248,216,256,296,296,360,416,296,352,400,176,176,176,176
12,288,288,264,256,272,312,320,328,272,280,280,304,312,312,280,296,272,304,176,208,208,240,224,216,256,296,296,360,408,296,352,400,176,176,176,176
13,288,296,272,264,272,312,328,328,272,280,280,312,312,312,280,296,272,304,176,216,208,224,192,216,256,296,288,360,408,296,352,400,176,176,176,176
14,288,296,272,264,272,312,328,328,280,280,280,312,312,312,288,296,280,304,176,208,208,208,176,216,256,288,288,360,408,296,352,408,176,176,176,176
15,296,296,272,264,272,320,328,328,280,280,280,312,312,312,288,296,280,304,176,216,208,208,176,216,256,288,288,352,408,296,352,408,176,176,176,176
16,296,296,280,264,272,320,328,328,280,280,280,312,312,312,288,296,280,304,176,216,216,216,184,216,256,288,288,352,408,296,352,408,176,176,176,176
17,296,296,280,264,272,320,336,336,280,288,280,312,312,312,288,304,280,304,176,216,216,232,200,216,248,280,296,352,408,296,352,408,176,176,176,176
18,296,296,272,264,280,320,344,344,280,288,280,320,320,312,288,304,280,312,176,208,216,248,224,208,240,264,296,360,408,296,352,408,176,168,176,176
19,296,296,272,264,280,320,344,344,288,288,288,320,320,312,296,304,280,312,176,208,208,248,240,208,232,240,296,360,416,288,352,408,168,168,176,176
20,296,296,280,264,288,320,352,352,288,288,280,320,320,312,296,304,288,312,176,216,216,248,256,208,232,208,296,360,416,288,360,408,168,168,176,176
21,304,296,280,264,288,320,352,352,288,288,280,320,320,312,296,304,288,312,176,216,216,256,280,216,224,192,296,360,408,296,352,408,176,176,184,176
22,304,296,280,272,288,320,352,344,288,288,288,320,320,312,296,304,288,312,176,216,216,256,288,216,216,184,296,360,416,296,352,408,176,176,184,176
23,304,304,280,272,288,328,352,344,288,288,280,320,312,312,296,304,288,312,176,216,216,264,296,216,216,184,296,360,416,296,360,408,176,176,184,176
