frame,rgb_z_0,rgb_z_1,rgb_z_2,rgb_z_3,rgb_z_4,rgb_z_5,rgb_z_6,rgb_z_7,rgb_z_8,rgb_z_9,rgb_z_10,rgb_z_11,rgb_z_12,rgb_z_13
0,27.22,28.1,28.1,28.57,28.34,27.88,28.81,28.57,27.43,28.34,29.05,27.65,28.1,29.3
1,27.22,28.1,28.1,28.81,28.34,27.88,28.81,28.57,27.43,28.34,29.05,27.88,28.1,29.3
2,27.22,28.1,28.1,28.57,28.34,27.88,28.81,28.34,27.43,28.34,29.05,27.65,28.1,29.3
3,27.22,28.1,28.1,28.81,28.34,27.88,28.81,28.34,27.43,28.34,29.05,27.88,28.1,29.3
4,27.22,28.1,28.1,28.57,28.34,27.88,28.81,28.34,27.43,28.1,29.05,27.43,28.1,29.3
5,27.22,28.1,28.1,28.34,28.34,27.88,28.81,28.57,27.43,28.34,29.05,27.43,28.1,29.3
6,27.22,28.1,28.1,28.34,28.34,27.88,28.81,28.57,27.43,28.34,29.05,27.65,28.1,29.3
7,27.22,28.1,28.1,28.34,28.34,28.1,29.3,28.57,27.43,28.34,29.05,27.88,28.1,29.3
8,27.22,28.1,27.88,28.34,27.88,28.1,29.55,28.81,27.43,28.34,29.05,27.65,28.1,29.3
9,27.22,28.1,27.65,28.1,27.88,28.1,29.8,27.94,27.43,28.1,29.05,27.88,28.34,29.3
10,27.22,28.1,27.43,28.1,27.22,28.34,30.06,27.94,27.43,28.1,28.81,27.88,28.34,29.3
11,27.01,27.65,27.43,27.65,27.22,28.34,30.33,30.33,27.43,28.34,29.05,27.88,28.34,29.3
12,26.8,27.65,27.43,27.43,27.22,28.34,30.87,27.94,27.43,28.1,29.05,27.88,28.1,29.3
13,26.8,27.65,27.22,27.43,28.01,28.1,30.87,27.94,27.43,28.1,29.05,27.88,28.1,29.3
14,26.8,27.65,27.01,27.43,26.39,28.34,31.43,27.94,27.43,28.1,29.05,27.65,28.1,29.3
15,26.8,27.43,27.01,27.22,26.59,28.57,32.01,27.94,27.43,27.88,29.05,27.65,28.34,29.3
16,26.8,27.43,27.01,27.22,26.59,28.34,31.72,27.94,27.43,28.1,29.05,28.1,28.1,29.3
17,26.8,27.43,26.8,27.22,27.01,28.34,28.51,27.94,27.43,28.1,29.05,28.1,28.1,29.3
18,26.59,27.65,26.8,27.65,27.22,28.1,28.51,27.94,27.43,28.1,29.05,27.43,28.1,29.3
19,26.8,27.65,26.8,27.43,28.34,28.57,28.51,27.94,27.43,28.1,29.05,27.65,28.34,29.3
20,26.59,27.43,27.01,27.43,28.1,28.1,28.51,27.94,27.43,28.34,29.05,27.65,28.1,29.05
21,26.59,27.43,27.01,27.65,28.34,27.88,28.51,27.94,27.43,28.34,29.05,27.65,27.88,29.05
22,26.59,27.22,27.01,28.1,28.1,27.88,28.81,28.1,27.43,28.1,29.3,27.65,27.65,29.05
23,26.39,27.43,27.22,28.34,28.34,27.65,27.43,27.43,27.43,28.34,29.05,28.1,27.65,29.05
24,26.39,27.43,27.43,28.1,28.34,27.65,27.43,27.43,27.43,28.34,29.05,28.1,27.88,29.05
25,26.8,27.43,27.65,28.57,28.34,27.22,27.43,27.94,27.43,28.34,29.3,27.88,27.65,29.3
26,26.8,27.43,27.88,28.34,28.34,27.22,27.43,27.94,27.65,28.1,29.05,27.65,27.65,29.05
27,26.59,27.43,21.74,28.57,28.1,27.01,27.43,27.94,27.65,28.34,29.05,27.65,27.65,29.05
28,26.59,27.43,28.1,28.34,28.57,26.39,23.67,23.04,27.65,28.1,29.05,27.65,27.65,29.05
29,27.01,24.51,28.1,28.81,28.34,25.42,27.43,28.34,27.65,28.34,29.05,27.65,27.65,29.3
30,26.8,24.69,28.1,29.05,28.01,25.8,27.22,27.65,27.65,28.34,29.3,27.65,27.65,29.3
31,26.59,24.87,27.88,28.81,28.34,26.19,27.01,27.65,27.43,28.34,29.05,27.43,27.65,29.3
32,26.59,25.05,28.34,28.57,28.1,26.39,26.8,27.43,27.43,28.1,29.05,27.43,27.65,29.05
33,26.8,25.23,28.1,28.81,28.34,26.39,27.88,27.43,27.43,28.34,29.05,27.65,27.65,29.3
34,26.8,25.05,28.34,28.81,28.34,26.39,28.51,27.22,27.65,28.34,29.05,27.43,27.65,29.3
35,26.8,27.65,28.34,28.81,28.34,26.19,28.51,27.01,27.65,28.34,29.05,27.43,27.65,29.3
36,26.8,27.88,28.34,28.81,28.34,26.19,28.51,27.01,27.43,28.34,29.05,27.65,27.65,29.3
37,27.01,27.88,28.1,28.81,28.34,26.39,28.51,27.88,27.43,28.34,29.05,27.43,27.65,29.3
