frame,rgb_z_0,rgb_z_1,rgb_z_2,rgb_z_3,rgb_z_4,rgb_z_5,rgb_z_6,rgb_z_7,rgb_z_8,rgb_z_9,rgb_z_10,rgb_z_11,rgb_z_12,rgb_z_13
0,27.22,27.43,27.65,27.88,27.88,27.43,28.1,28.34,27.43,28.34,28.81,27.22,28.1,28.81
1,27.22,27.65,27.65,28.1,27.88,27.65,28.1,28.1,27.43,28.1,28.81,27.43,28.1,29.05
2,27.22,27.43,27.43,27.88,27.88,27.43,28.1,28.1,27.43,28.1,28.57,27.43,28.1,28.81
3,27.22,27.65,27.43,28.1,27.88,27.65,28.1,28.1,27.43,28.1,28.57,27.43,28.1,28.81
4,27.22,27.43,27.43,27.65,27.88,27.65,28.1,28.34,27.22,28.1,28.57,27.43,28.1,28.81
5,27.22,27.43,27.43,27.65,27.65,27.65,28.34,28.1,27.43,28.1,28.57,27.43,28.1,28.81
6,27.22,27.65,27.22,27.43,27.43,27.88,28.57,27.4,27.43,28.1,28.57,27.43,28.1,29.05
7,27.22,27.43,27.01,27.22,27.43,27.88,28.81,28.34,27.22,27.88,28.57,27.43,28.1,29.05
8,27.22,27.43,27.01,27.01,27.43,27.88,28.81,27.4,27.22,27.88,28.57,27.43,28.1,28.81
9,27.01,27.43,26.8,26.59,27.01,27.65,29.55,29.8,27.22,27.43,28.57,27.43,28.1,29.05
10,27.43,27.43,27.01,26.8,26.59,27.65,29.3,27.4,27.22,27.43,28.34,27.43,28.1,28.81
11,27.22,27.43,27.01,26.59,27.22,27.65,28.57,27.4,27.22,27.22,28.34,27.43,28.1,28.81
12,27.43,27.88,27.22,26.59,26.59,27.43,27.88,27.4,27.01,27.01,28.34,27.22,28.1,28.81
13,26.63,27.88,26.59,26.19,26.39,27.88,27.22,27.01,26.8,26.8,28.34,27.22,28.1,28.81
14,27.43,27.43,26.59,25.6,26.8,27.22,26.59,26.59,26.59,26.8,28.34,27.43,28.1,28.81
15,26.63,27.22,26.39,25.42,25.99,27.01,26.8,27.22,25.8,26.8,28.1,27.01,28.1,28.81
16,27.22,27.43,25.99,25.8,27.34,27.22,27.43,27.22,26.39,27.22,28.1,27.22,28.1,28.81
17,27.43,27.22,25.8,25.8,27.34,27.01,27.22,27.43,25.8,27.01,28.1,27.22,28.1,28.81
18,26.59,26.8,25.99,27.12,27.34,26.68,27.25,27.4,25.99,26.8,28.1,27.43,28.1,28.81
19,26.59,25.99,27.11,27.12,27.34,26.68,27.25,27.4,26.19,26.8,28.1,27.43,27.88,28.57
20,26.8,26.39,27.11,25.99,27.34,26.68,27.25,27.4,26.59,27.01,27.88,27.22,27.65,28.57
21,26.63,27.01,27.11,26.19,26.59,27.22,27.01,27.01,26.8,26.59,27.88,27.88,27.43,28.34
22,26.63,27.01,27.11,26.8,27.34,27.01,26.8,27.4,27.65,27.01,28.34,27.01,26.8,28.34
23,26.63,27.43,27.22,26.8,27.34,26.19,26.8,27.4,27.01,27.22,28.1,27.22,27.22,28.34
24,26.63,26.79,27.43,27.12,27.34,26.19,27.65,27.4,27.01,27.01,28.1,27.43,27.22,28.34
25,26.63,26.79,27.43,27.12,27.34,26.39,27.01,27.4,27.01,27.01,28.34,27.22,27.43,28.34
26,26.63,27.43,27.43,27.12,27.34,27.01,26.59,27.4,27.22,27.01,28.1,27.22,27.43,28.57
27,26.63,27.22,27.88,27.12,27.34,23.04,26.59,27.4,27.22,27.43,28.57,26.8,27.01,28.34
28,22.74,27.22,27.88,28.1,28.34,24.51,25.8,27.65,26.8,27.65,28.34,26.59,27.01,28.81
29,23.04,24.17,27.11,28.34,26.8,24.87,26.19,26.59,27.22,27.65,28.81,26.59,27.01,28.34
30,25.8,27.01,27.11,27.12,27.22,25.8,26.39,26.19,27.22,27.65,28.57,26.59,26.8,28.34
31,26.19,23.67,27.11,27.12,27.34,25.8,26.39,26.19,27.43,27.65,28.57,26.59,26.8,28.34
32,26.19,23.51,27.11,27.12,27.34,25.42,26.39,26.39,27.43,27.65,28.57,26.59,27.01,28.34
33,26.19,23.04,27.11,27.12,27.34,25.05,26.59,27.01,27.43,27.65,28.57,26.59,27.22,28.34
34,26.19,22.44,27.11,27.12,27.34,24.69,26.59,27.22,27.22,27.65,28.57,26.59,27.22,28.57
35,26.39,26.8,27.11,27.12,27.34,25.23,26.59,27.22,27.22,27.65,28.57,26.59,27.22,28.81
36,26.59,26.8,27.11,27.12,27.34,25.8,26.39,27.65,27.22,27.65,28.57,26.59,27.22,28.57
37,26.59,27.22,27.43,27.12,27.34,26.19,24.34,27.4,27.01,27.65,28.57,26.59,27.22,28.57
38,26.59,27.22,27.43,27.12,27.34,26.19,25.05,27.4,27.01,27.43,28.57,23.51,27.22,28.57
39,26.59,27.22,27.43,28.1,28.34,26.59,26.19,25.6,27.01,27.43,28.57,26.8,27.43,28.57
40,26.59,27.22,27.43,28.1,28.1,26.8,26.39,26.19,26.8,27.65,28.57,27.01,27.43,28.57
41,26.63,27.22,27.22,28.1,28.1,26.8,26.59,26.8,26.8,27.65,28.57,26.59,27.43,28.57
42,26.59,26.8,27.22,27.65,27.22,27.01,27.43,27.43,26.8,27.65,28.57,26.8,27.43,28.81
43,26.8,27.22,27.01,27.43,27.22,27.01,27.88,27.65,26.8,27.43,28.57,27.01,27.65,28.81
44,26.59,27.01,26.8,27.43,27.22,27.22,28.1,28.1,26.8,27.43,28.57,27.22,28.1,28.81
45,26.8,27.01,26.8,27.43,27.22,27.22,28.34,28.34,26.8,27.65,28.81,27.22,28.1,28.81
