frame,rgb_z_0,rgb_z_1,rgb_z_2,rgb_z_3,rgb_z_4,rgb_z_5,rgb_z_6,rgb_z_7,rgb_z_8,rgb_z_9,rgb_z_10,rgb_z_11,rgb_z_12,rgb_z_13
0,27.43,28.1,27.88,28.1,28.1,27.88,28.34,27.88,27.65,28.34,29.3,27.65,27.88,28.81
1,27.43,28.1,27.88,28.1,28.1,27.88,28.34,27.65,27.65,28.34,29.3,27.65,27.88,28.81
2,27.22,28.1,27.88,28.1,28.1,27.88,28.1,27.65,27.65,28.1,29.05,27.65,28.1,28.81
3,27.22,28.1,27.88,28.1,28.1,27.88,28.34,27.65,27.65,28.1,29.05,27.22,27.88,28.57
4,27.22,28.1,27.88,28.34,28.1,27.88,28.34,27.65,27.88,28.1,29.05,27.43,27.88,28.57
5,27.22,27.88,27.88,28.1,28.1,27.88,28.57,27.88,27.65,28.1,29.3,27.43,27.88,28.81
6,27.22,28.1,27.65,28.1,28.1,27.88,28.57,27.65,27.65,28.1,29.05,27.43,27.88,28.81
7,27.22,27.88,27.65,28.1,27.88,27.88,28.57,27.65,27.65,27.88,29.3,27.22,27.88,28.81
8,27.22,28.1,27.65,28.1,27.88,27.88,28.57,27.88,27.43,27.88,29.05,27.22,27.65,28.57
9,27.22,28.1,27.65,28.1,27.88,27.65,28.34,27.88,27.65,27.88,29.05,27.22,27.88,28.81
10,27.22,28.1,27.43,28.1,28.1,27.88,28.1,27.65,27.65,27.65,29.05,27.22,27.88,28.81
11,27.22,28.1,27.43,28.34,28.1,27.88,28.1,27.43,27.65,27.88,28.57,27.22,27.88,28.57
12,27.22,28.1,27.43,28.34,28.34,27.88,28.1,28.1,27.81,27.43,28.81,27.43,27.88,28.81
13,27.01,27.88,27.65,28.34,28.34,27.88,28.1,27.88,27.65,27.22,28.34,27.43,28.1,28.81
14,27.01,27.88,27.88,28.57,28.81,27.88,28.1,27.88,27.65,27.01,28.34,27.43,28.1,29.05
15,27.01,27.65,27.88,28.57,29.05,27.88,28.1,27.88,27.65,27.01,28.34,27.43,27.88,28.57
16,27.22,28.1,27.88,29.05,29.3,27.65,28.57,27.65,28.1,27.22,28.81,27.43,27.88,28.57
17,27.01,27.43,27.65,28.81,29.3,27.22,28.57,25.8,27.43,27.01,29.05,27.43,27.88,28.81
18,27.22,27.43,27.88,28.81,28.81,27.65,28.34,27.01,27.65,27.43,29.3,27.43,27.22,27.88
19,27.22,27.43,27.43,28.57,28.34,27.65,28.81,26.59,27.65,27.88,29.3,27.65,27.01,27.88
20,27.22,27.65,27.43,28.1,28.1,27.65,28.81,28.1,27.88,28.1,29.05,27.65,26.8,27.65
21,27.43,27.43,28.1,28.1,28.34,28.1,28.81,29.05,27.88,27.88,29.05,27.88,26.39,27.43
22,27.43,27.22,28.1,28.1,26.8,28.1,29.05,29.3,27.88,27.65,29.05,27.65,26.19,27.43
23,27.43,27.88,27.65,27.22,28.22,27.88,29.8,29.55,28.1,28.34,29.05,27.65,26.19,27.88
24,27.22,27.88,27.65,27.43,28.22,27.88,29.8,29.3,28.1,27.88,28.81,27.43,26.8,28.1
25,27.22,27.65,27.65,28.1,28.22,27.88,29.55,29.55,27.65,27.22,28.57,27.43,27.01,28.34
26,27.22,28.1,27.88,29.05,27.43,27.88,29.3,28.57,28.1,27.01,28.34,27.65,27.88,29.05
27,27.43,28.1,28.1,29.05,28.81,27.88,29.05,27.88,28.1,26.59,28.1,27.65,27.88,29.3
28,27.65,28.1,28.81,29.3,29.3,27.88,28.1,25.8,28.34,26.39,28.34,27.88,27.88,29.05
29,27.65,28.1,28.34,29.55,29.55,27.88,27.88,28.57,28.1,26.39,28.34,27.65,28.1,28.81
30,27.43,28.1,28.1,29.3,28.34,27.43,28.34,28.1,27.43,26.59,28.57,27.65,28.1,29.05
31,27.43,28.1,28.1,29.3,28.81,27.65,28.81,28.1,27.65,26.8,28.1,27.43,27.88,29.05
32,27.43,27.88,27.88,29.05,28.34,27.88,28.81,26.59,27.65,27.43,28.57,27.43,27.01,28.34
33,27.43,27.88,27.65,28.57,28.1,28.1,28.81,27.22,27.88,27.88,28.34,27.65,26.8,28.81
34,27.43,27.88,27.43,28.81,27.22,28.1,29.05,27.65,28.1,28.1,28.83,27.88,26.59,28.34
35,27.65,28.1,28.1,28.34,28.22,28.1,29.8,28.81,28.1,27.65,28.34,28.1,26.19,27.88
36,27.88,28.1,28.1,27.65,28.22,28.1,29.55,28.81,28.1,27.65,28.34,27.88,25.8,27.88
37,27.43,27.88,27.65,26.8,28.22,28.1,30.06,28.81,28.1,27.65,28.57,27.65,26.19,27.88
38,27.43,27.88,27.43,27.01,28.22,29.05,29.8,28.57,28.1,28.1,29.05,27.65,26.39,27.88
39,27.43,27.88,27.43,27.22,28.22,27.88,29.55,28.34,27.88,28.1,29.05,27.43,27.01,27.88
40,27.43,27.88,27.65,28.1,28.22,27.88,29.3,28.1,27.88,28.34,29.05,27.65,27.65,28.34
41,27.43,28.1,27.88,28.57,27.01,27.88,28.81,27.88,27.88,27.88,29.05,27.65,27.88,28.57
42,27.43,27.88,27.88,28.34,27.43,27.88,28.81,27.88,27.65,27.88,29.05,27.65,27.88,28.57
43,27.43,28.1,27.88,28.34,27.65,27.88,28.34,27.65,27.88,27.88,29.05,27.65,27.88,28.57
44,27.43,28.1,27.88,28.57,27.88,27.88,28.34,27.65,27.88,27.88,29.05,27.43,27.88,28.57
45,27.43,28.1,27.88,28.81,28.1,27.88,28.34,27.43,27.65,27.88,29.05,27.65,27.65,28.57
