frame,rgb_z_0,rgb_z_1,rgb_z_2,rgb_z_3,rgb_z_4,rgb_z_5,rgb_z_6,rgb_z_7,rgb_z_8,rgb_z_9,rgb_z_10,rgb_z_11,rgb_z_12,rgb_z_13,rgb_z_14,rgb_z_15,rgb_z_16,rgb_z_17
0,27.65,27.88,27.88,27.88,27.88,28.1,29.05,28.34,27.22,28.1,28.81,27.43,28.1,28.81,27.65,27.65,26.75,27.65
1,27.43,27.88,28.1,27.88,27.88,28.34,29.05,28.34,27.43,28.1,28.57,27.43,28.1,28.81,27.88,27.43,26.75,27.65
2,27.65,27.88,27.88,28.1,27.88,28.1,29.05,28.34,27.22,28.1,28.81,27.43,28.34,28.81,27.43,27.65,26.75,27.43
3,27.43,27.88,28.1,28.1,27.88,28.1,29.05,28.34,27.22,28.1,28.81,27.43,28.34,28.81,27.65,27.43,26.75,27.65
4,27.65,27.88,27.88,28.1,27.88,28.1,29.05,28.34,27.22,28.1,28.81,27.43,28.34,28.81,27.65,27.43,26.75,27.44
5,27.65,27.88,28.1,28.1,27.65,28.1,29.05,28.34,27.22,28.1,28.81,27.43,28.34,28.81,27.65,27.65,26.75,27.44
6,27.65,27.88,28.1,28.1,27.88,28.1,29.05,28.34,27.22,27.88,28.81,27.43,28.34,28.81,27.65,27.65,26.75,27.65
7,27.88,27.65,28.1,28.1,27.88,28.1,29.05,28.1,27.43,28.1,28.81,27.43,28.1,28.81,27.65,27.65,26.75,27.88
8,27.65,27.88,28.1,28.1,27.88,28.1,28.57,28.34,27.22,27.88,28.57,27.43,28.1,28.81,27.65,27.43,26.75,27.43
9,27.43,27.65,27.88,28.1,27.88,28.34,28.34,27.88,27.22,28.1,28.81,27.43,28.1,28.81,27.65,27.43,26.75,27.88
10,27.65,27.88,28.1,28.1,27.88,28.1,29.05,28.1,27.22,28.1,28.81,27.43,28.1,28.81,27.65,27.43,26.75,27.65
11,27.65,27.65,27.88,27.88,27.88,28.1,28.81,27.96,27.22,28.1,28.57,27.43,28.1,28.81,27.43,27.43,26.75,27.65
12,27.43,27.65,27.88,28.1,27.88,28.1,28.1,27.96,27.43,27.88,28.81,27.43,28.1,28.81,27.65,27.43,26.75,27.43
13,27.43,27.43,27.88,28.1,27.65,28.1,28.1,27.96,27.22,27.88,28.81,27.43,28.1,28.81,27.65,27.43,26.75,27.43
14,27.43,27.65,27.88,27.88,27.88,27.88,28.1,27.96,27.22,27.88,28.81,27.43,28.1,28.81,27.43,27.43,26.75,27.88
15,27.43,27.88,27.88,28.1,27.88,28.1,27.43,27.96,27.22,27.88,28.57,27.43,27.88,28.81,27.43,27.43,26.75,27.88
16,27.65,27.65,27.88,28.1,27.88,27.88,28.1,27.96,27.22,27.88,28.57,27.43,28.1,28.81,27.43,27.65,26.75,27.65
17,27.65,27.88,28.1,28.34,27.88,27.43,28.1,27.43,27.22,27.88,28.57,27.22,28.1,28.81,27.43,27.65,28.1,27.65
18,27.65,27.88,28.1,28.57,27.88,27.43,27.65,27.65,27.22,27.88,28.57,27.43,28.1,28.57,27.88,27.65,26.75,27.65
19,27.65,27.65,28.1,28.57,28.1,25.8,27.88,28.1,27.22,28.1,28.57,27.43,28.1,28.81,27.65,27.65,27.88,27.65
20,28.1,27.88,27.88,28.57,27.88,27.22,28.1,27.88,27.22,28.1,28.57,27.22,28.1,28.81,27.65,24.87,27.88,24.87
21,24.87,27.65,27.88,28.34,27.88,27.43,27.43,27.88,27.22,27.88,28.57,27.22,28.1,28.81,24.69,25.23,24.34,25.23
