frame,rgb_z_0,rgb_z_1,rgb_z_2,rgb_z_3,rgb_z_4,rgb_z_5,rgb_z_6,rgb_z_7,rgb_z_8,rgb_z_9,rgb_z_10,rgb_z_11,rgb_z_12,rgb_z_13,rgb_z_14,rgb_z_15,rgb_z_16,rgb_z_17
0,32.31,32.31,32.31,32.62,32.31,32.01,33.24,32.62,31.72,32.62,33.24,32.01,32.62,33.57,32.01,32.01,27.39,32.31
1,32.31,32.31,32.31,32.62,32.31,32.31,33.24,32.62,31.72,32.93,33.57,31.72,32.62,33.57,32.01,32.01,27.39,32.31
2,32.31,32.31,32.31,32.31,32.31,32.31,33.24,32.62,31.72,32.93,33.24,31.72,32.93,33.24,32.01,31.72,27.39,32.31
3,32.31,32.31,32.31,32.62,32.31,32.01,33.24,32.62,31.72,32.62,32.93,31.72,32.62,33.57,32.01,31.72,27.39,32.31
4,32.31,32.31,32.31,32.62,32.01,32.31,33.24,32.62,31.72,32.62,33.24,31.72,32.62,33.24,32.01,31.72,27.39,32.01
5,32.01,32.31,32.31,32.31,32.31,32.01,33.24,32.62,32.01,32.62,32.93,32.01,32.62,33.57,32.01,31.72,27.39,32.01
6,32.01,32.01,32.01,32.31,32.01,32.01,33.24,32.31,31.43,32.62,33.24,31.72,32.93,33.57,32.01,31.72,27.39,31.72
7,32.01,32.01,32.01,32.62,32.01,32.31,33.24,32.31,31.43,32.62,32.93,31.43,32.62,33.57,31.72,31.72,27.39,32.62
8,31.72,32.01,32.01,32.31,32.01,32.01,32.62,32.31,31.43,32.31,29.48,31.72,32.62,33.57,31.72,31.72,27.39,32.31
9,31.72,32.01,32.01,32.31,31.72,32.01,32.62,32.62,31.72,32.31,32.62,31.43,32.31,33.24,31.43,31.43,27.39,32.01
10,31.43,32.01,31.72,32.01,31.72,32.01,32.31,32.62,31.43,31.43,32.31,31.43,32.31,33.24,31.43,31.43,27.39,32.01
11,31.43,32.01,31.72,32.01,31.72,32.01,32.62,32.31,31.43,31.15,32.31,31.43,32.31,33.24,31.43,31.43,27.39,31.72
12,31.15,31.43,31.43,32.01,31.43,31.72,32.31,32.31,31.43,31.15,32.01,31.43,32.31,33.24,31.15,31.43,27.39,31.72
13,30.87,31.15,31.15,31.43,31.43,31.43,32.31,32.31,31.43,30.33,31.15,31.43,32.31,32.93,31.43,31.15,27.39,31.43
14,30.59,31.15,31.15,31.43,31.15,31.43,31.72,32.01,31.15,30.33,30.33,31.15,32.01,32.93,30.87,30.87,27.39,30.87
15,30.87,31.15,31.15,31.15,31.15,30.87,32.01,32.01,30.87,30.06,29.55,30.87,32.01,32.62,30.59,30.33,27.39,30.87
16,30.59,30.87,30.87,31.15,31.15,30.87,32.01,31.72,30.87,29.8,29.05,30.87,31.72,32.62,30.33,30.33,27.39,30.59
17,30.59,30.06,30.59,30.59,30.33,30.33,31.43,32.01,30.59,29.3,28.1,30.59,31.43,32.62,30.59,30.06,27.39,30.59
18,30.33,29.8,30.33,29.94,30.19,30.06,31.15,31.72,30.33,29.05,28.34,30.87,31.43,32.62,30.33,30.06,27.39,30.87
19,30.06,29.55,29.8,29.94,30.19,29.55,31.15,30.59,30.06,28.81,28.1,29.8,30.87,32.62,30.06,29.8,30.06,30.33
20,29.55,29.05,29.8,29.8,30.19,29.05,30.87,30.33,29.8,28.81,27.88,29.8,30.59,32.62,29.8,29.3,29.8,30.06
21,29.05,28.34,29.3,29.3,30.19,28.81,30.06,30.06,29.3,28.1,27.43,29.55,30.06,31.72,29.05,29.05,29.05,29.3
22,29.05,28.1,28.81,29.05,30.19,28.81,30.33,29.8,29.05,27.43,27.43,29.55,30.06,32.31,28.57,29.05,28.57,29.05
23,28.34,27.65,28.34,28.81,30.19,28.1,29.8,29.55,28.1,27.01,27.22,29.05,29.3,31.43,28.1,28.34,28.1,28.34
24,27.65,27.43,27.88,28.34,30.19,27.43,29.05,30.73,28.1,26.39,27.22,28.81,29.05,32.62,27.65,27.88,27.43,28.1
25,27.43,27.22,27.88,28.1,28.1,27.43,29.05,28.81,28.1,26.39,27.22,28.57,29.05,31.62,27.43,27.43,27.43,27.65
26,27.01,27.01,27.22,27.88,27.65,27.22,28.57,28.81,27.88,26.39,26.8,28.1,28.57,28.57,26.8,26.8,27.22,27.65
27,26.8,26.8,27.01,27.88,27.65,27.22,28.57,28.57,27.88,26.39,26.59,28.1,28.34,28.57,26.59,26.39,27.22,27.22
28,25.8,26.59,26.39,27.43,27.43,26.8,28.34,28.81,27.43,26.39,26.39,28.1,28.34,28.34,25.8,25.6,27.39,26.39
29,25.6,26.39,26.39,27.22,27.43,26.59,27.88,28.81,27.43,26.19,26.39,27.43,28.34,28.34,25.6,25.6,26.39,25.8
30,25.23,26.39,26.39,27.22,27.43,27.01,27.43,28.34,27.43,26.19,26.39,27.22,28.34,28.34,25.23,25.42,25.8,25.6
31,25.42,25.99,26.19,26.8,27.43,26.59,27.43,28.1,27.22,26.39,26.19,27.22,28.1,28.34,25.23,25.42,25.42,25.6
32,25.42,25.23,26.39,26.59,27.65,30.37,27.22,28.1,26.8,26.59,26.19,27.22,28.34,28.34,25.05,25.23,25.05,25.6
33,25.42,25.42,29.89,26.59,27.65,30.37,27.43,28.1,26.59,26.59,26.39,27.22,28.1,28.34,25.23,25.23,25.05,25.6
34,25.6,25.42,29.89,26.59,27.88,30.37,27.22,28.1,27.01,26.39,26.39,27.22,28.1,28.34,25.42,26.39,25.42,25.8
35,25.8,25.6,26.39,26.59,27.88,30.37,27.22,28.1,26.59,26.8,26.39,27.43,28.34,28.34,25.8,26.39,25.6,29.99
36,25.8,25.6,29.89,26.59,27.65,30.37,27.22,28.1,26.39,27.43,26.19,27.22,28.34,28.57,29.18,29.64,25.8,29.99
37,26.39,25.99,29.89,26.8,28.1,30.37,27.22,28.34,27.01,27.22,25.99,27.65,28.57,28.57,29.18,29.64,25.99,29.99
38,26.59,26.39,26.39,27.01,28.34,30.37,27.65,28.81,27.01,27.65,26.19,27.65,28.57,28.81,26.59,29.64,26.39,29.99
39,26.8,26.59,26.59,27.22,28.34,30.37,28.1,29.05,27.01,27.65,26.39,27.43,28.81,29.05,29.18,29.64,26.8,29.99
40,29.25,27.22,26.8,27.43,28.34,30.37,28.57,29.05,27.43,28.1,26.8,29.05,29.3,28.81,27.01,29.64,27.01,29.99
41,27.65,27.22,27.43,27.65,28.57,30.37,28.81,29.3,27.65,28.1,26.8,28.57,29.3,31.62,29.18,29.64,27.22,29.99
42,28.1,27.88,29.89,28.34,29.05,30.37,29.3,29.8,28.1,28.34,27.43,29.05,29.8,31.62,28.1,29.64,27.65,29.99
43,28.34,28.1,29.89,28.57,29.3,30.37,29.55,30.06,29.05,28.57,27.65,29.3,29.8,30.33,28.34,29.64,28.1,29.99
44,28.57,28.34,29.89,29.05,29.8,30.37,29.8,30.33,29.3,29.05,28.1,29.3,30.06,31.62,28.34,28.57,28.34,29.99
45,29.05,29.3,29.89,29.55,30.06,29.8,30.33,30.87,30.06,29.3,28.34,30.06,30.33,31.62,29.05,29.05,28.81,29.05
46,29.8,30.33,30.06,30.33,30.87,30.87,30.87,31.15,30.59,30.06,29.3,30.59,31.15,32.62,29.8,29.55,30.06,29.8
47,30.33,30.87,30.59,31.15,31.15,30.59,31.15,31.15,30.59,30.06,30.06,30.59,31.43,32.62,30.33,30.06,31.15,30.06
48,30.33,30.87,30.59,31.15,31.15,30.87,31.15,31.15,30.87,30.06,30.33,30.59,31.43,32.62,30.87,30.06,27.39,30.33
49,31.15,30.87,31.15,31.43,31.15,30.87,31.43,31.15,30.87,30.33,31.15,30.59,31.72,32.93,29.18,30.59,27.39,30.59
50,30.87,31.15,29.89,31.43,31.15,31.15,31.72,31.43,31.15,30.87,31.15,30.87,31.43,32.62,29.18,30.87,27.39,30.59
51,29.25,31.15,29.89,31.43,31.43,31.15,31.72,31.72,31.43,31.15,32.01,31.15,31.72,32.62,29.18,31.15,27.39,30.59
52,29.25,31.43,31.43,31.43,31.43,31.15,32.01,31.72,31.43,31.72,32.62,31.15,32.31,32.93,29.18,31.15,27.39,31.15
