frame,rgb_z_0,rgb_z_1,rgb_z_2,rgb_z_3,rgb_z_4,rgb_z_5,rgb_z_6,rgb_z_7,rgb_z_8,rgb_z_9,rgb_z_10,rgb_z_11,rgb_z_12,rgb_z_13,rgb_z_14,rgb_z_15,rgb_z_16,rgb_z_17
0,27.43,28.1,28.1,28.1,27.65,28.1,28.57,27.88,27.43,28.34,29.3,27.22,28.34,29.05,27.22,27.22,26.92,27.65
1,27.43,27.88,28.1,28.1,27.65,27.88,28.57,27.88,27.43,28.34,29.3,27.22,28.34,29.05,27.22,27.22,26.92,27.65
2,27.22,27.88,28.1,28.1,27.65,28.1,28.57,27.88,27.43,28.34,29.05,27.22,28.34,29.3,27.22,27.22,26.92,27.71
3,27.22,28.1,28.1,28.1,27.65,27.88,28.57,27.88,27.43,28.34,29.3,27.22,28.34,29.3,27.22,27.22,26.92,27.43
4,27.43,27.88,28.1,28.1,27.65,27.88,28.57,27.88,27.43,28.34,29.3,27.22,28.34,29.05,27.22,27.22,26.92,27.43
5,27.43,27.88,28.1,28.1,27.65,27.88,28.57,27.88,27.43,28.34,29.3,27.22,28.34,29.3,27.22,27.22,26.92,27.71
6,27.43,27.88,28.1,27.88,28.1,27.88,28.1,28.1,27.43,28.34,29.3,27.22,28.34,29.55,27.22,27.22,26.92,27.71
7,27.43,27.88,28.1,27.88,27.22,27.88,28.34,28.1,27.43,28.34,29.05,27.22,28.34,29.3,27.22,27.22,26.92,27.43
8,27.43,27.88,28.1,27.43,26.39,27.88,28.1,26.8,27.43,28.34,29.3,27.22,28.34,29.3,27.22,27.22,26.92,27.71
9,27.22,28.1,27.88,27.43,25.99,27.88,28.1,26.59,27.43,28.57,29.3,27.22,28.34,29.3,27.22,27.22,26.92,28.1
10,27.43,28.1,27.88,27.22,26.19,28.1,27.88,27.01,27.43,28.34,29.3,27.22,28.34,29.3,27.22,27.43,26.92,27.71
11,27.43,28.1,28.1,27.22,26.39,28.1,26.39,26.19,27.65,28.34,29.3,27.43,28.34,29.3,27.43,27.43,27.88,27.71
12,27.43,28.1,28.1,26.8,26.19,27.88,27.22,27.22,27.65,28.34,29.3,27.43,28.34,29.3,27.43,27.43,26.92,27.65
13,27.43,28.1,28.1,26.59,27.45,27.88,27.43,27.65,27.43,28.34,29.3,27.43,28.34,29.3,27.43,27.43,26.92,27.88
14,27.43,28.1,27.88,27.03,27.45,27.88,27.86,27.99,27.43,28.57,29.3,27.43,28.57,29.3,27.43,27.43,26.92,27.88
15,27.43,27.88,28.1,27.03,27.45,27.88,27.86,27.99,27.65,28.34,29.3,27.43,28.34,29.55,27.43,27.43,26.92,28.34
16,27.43,27.88,27.65,27.22,28.1,27.88,27.86,28.1,27.65,28.34,29.3,27.43,28.34,29.3,27.43,27.43,26.92,28.1
17,27.43,27.88,27.88,27.01,27.88,27.88,27.01,27.88,27.65,28.34,29.05,27.43,28.34,29.3,27.43,27.43,26.92,28.1
18,27.43,27.88,27.43,26.39,28.1,27.43,26.8,27.88,27.88,28.34,29.3,27.43,28.57,29.3,27.22,27.43,26.92,28.1
19,27.43,28.1,27.43,27.22,28.1,27.65,26.39,27.65,27.65,28.34,29.3,27.43,28.57,29.3,27.43,27.43,27.43,28.1
20,27.43,27.65,27.43,27.22,27.43,27.43,27.86,27.43,27.65,28.57,29.3,27.43,28.57,29.3,27.43,27.43,26.92,28.34
21,27.88,27.43,27.43,27.03,27.43,27.65,27.86,27.43,27.88,28.57,29.3,28.1,28.57,29.3,27.88,28.1,26.92,28.34
22,28.1,27.43,27.43,27.03,27.43,27.65,28.1,28.1,28.34,28.57,29.3,28.1,28.57,29.3,28.1,28.1,28.1,28.1
23,27.43,27.43,27.43,27.03,27.88,27.65,27.86,28.1,28.34,28.57,29.05,28.34,28.57,29.3,27.65,27.88,27.43,27.65
24,27.43,27.65,28.1,27.03,28.1,27.88,27.86,28.57,28.57,28.81,29.05,28.34,28.34,29.05,27.43,27.43,27.43,27.43
25,27.43,27.65,28.1,27.03,28.34,28.1,27.86,29.3,28.57,28.81,29.05,28.1,28.1,29.05,27.43,27.65,27.43,27.22
26,27.65,27.88,28.57,27.03,29.05,28.1,27.86,29.55,28.57,28.57,29.05,28.57,28.1,28.81,27.43,27.43,27.43,27.22
27,27.65,27.65,29.05,27.03,29.3,28.34,27.86,29.05,28.57,28.1,29.05,28.57,28.1,28.81,27.43,27.65,27.43,27.43
