frame,rgb_z_0,rgb_z_1,rgb_z_2,rgb_z_3,rgb_z_4,rgb_z_5,rgb_z_6,rgb_z_7,rgb_z_8,rgb_z_9,rgb_z_10,rgb_z_11,rgb_z_12,rgb_z_13,rgb_z_14,rgb_z_15,rgb_z_16,rgb_z_17
0,27.01,27.43,27.43,28.1,27.43,27.43,28.57,27.65,27.22,28.1,28.81,27.43,28.34,29.05,27.22,27.22,26.52,27.88
1,27.01,27.22,27.43,28.1,27.43,27.43,28.34,27.65,27.43,27.88,28.81,27.43,28.34,29.3,27.22,27.01,26.52,27.65
2,27.01,27.43,27.43,28.1,27.43,27.43,28.34,27.65,27.22,28.1,29.05,27.43,28.34,29.05,27.22,27.22,26.52,27.65
3,27.01,27.22,27.65,28.1,27.43,27.43,28.34,27.65,27.43,28.1,28.81,27.43,28.34,29.3,27.22,27.22,26.52,27.43
4,27.22,27.43,27.43,28.1,27.43,27.43,28.57,27.88,27.22,28.34,28.81,27.43,28.1,29.3,27.22,27.22,26.52,27.88
5,27.01,27.43,27.65,28.1,27.43,27.43,28.34,27.65,27.22,28.1,28.81,27.43,28.34,29.3,27.22,27.22,26.52,27.65
6,27.01,27.43,27.65,28.1,27.43,27.43,27.88,27.01,27.22,28.1,28.81,27.43,28.34,29.3,27.22,27.22,26.52,27.65
7,27.22,27.43,27.65,28.34,27.43,27.43,27.88,27.43,27.01,28.1,28.81,27.43,28.34,29.3,27.22,27.43,26.52,27.88
8,27.22,27.43,27.65,28.1,27.43,27.43,27.65,25.99,27.22,28.1,28.57,27.43,28.34,29.3,27.22,27.22,26.52,27.65
9,27.22,27.43,27.65,28.1,27.43,27.65,27.22,28.34,27.43,28.1,28.81,27.22,28.34,29.55,27.43,27.22,26.52,27.65
10,27.22,27.43,27.65,28.1,27.43,27.65,27.01,27.11,27.22,28.1,28.81,27.43,28.34,29.55,27.22,27.43,26.52,27.88
11,27.22,27.88,27.65,28.1,27.43,27.65,27.01,27.01,27.22,28.1,28.57,27.43,28.34,29.05,27.43,27.43,26.52,28.1
12,27.22,27.43,27.65,28.1,27.43,27.88,23.35,27.01,27.43,28.1,28.81,27.43,28.34,29.55,27.43,27.43,26.52,28.1
13,27.43,27.65,27.65,28.1,27.43,27.88,23.35,27.88,27.43,28.1,28.81,27.43,28.34,29.3,27.43,27.43,26.52,28.1
14,27.43,27.88,27.65,28.1,27.43,27.65,22.89,27.11,27.43,28.1,29.05,27.43,28.34,29.3,27.43,27.43,26.52,28.34
15,27.43,27.65,27.88,28.34,27.43,27.43,23.35,21.6,27.43,28.1,28.81,27.43,28.34,29.3,27.43,27.43,26.52,28.1
16,27.43,27.65,27.88,28.1,27.43,27.43,24.87,22.44,27.43,28.1,28.81,27.43,28.34,29.55,27.43,27.43,26.52,28.1
17,27.43,27.88,27.88,28.1,27.43,27.43,24.69,22.74,27.43,28.34,28.81,27.43,28.34,29.55,27.65,27.43,26.52,27.88
18,27.43,27.43,27.88,28.34,27.43,27.43,25.6,22.89,27.43,28.1,28.81,27.43,28.34,29.55,27.65,27.43,26.52,27.65
19,27.43,27.65,27.88,28.34,27.43,27.65,25.99,23.51,27.43,28.1,29.05,27.43,28.34,29.3,27.43,27.22,26.52,28.81
20,27.43,27.65,27.88,28.34,27.43,27.65,26.19,24.0,27.43,28.1,28.81,27.43,28.34,29.3,27.43,27.43,26.52,28.57
21,27.43,27.65,27.88,28.1,27.43,27.65,26.19,27.65,27.43,28.1,28.81,27.43,28.34,29.3,27.43,27.43,26.52,28.81
22,27.43,27.65,27.88,28.1,27.43,27.65,26.19,27.43,27.43,28.1,29.05,27.43,28.34,29.3,27.43,27.43,26.52,28.1
23,27.43,27.65,27.88,28.34,27.43,27.65,27.65,27.11,27.22,28.34,28.81,27.43,28.34,29.3,27.65,27.43,26.52,28.1
24,27.43,27.88,27.88,28.1,27.43,27.65,27.65,28.81,27.22,28.1,28.81,27.43,28.34,29.3,27.65,27.43,26.52,28.1
25,27.43,27.88,27.88,28.34,27.43,27.65,27.88,27.88,27.22,28.1,28.57,27.43,28.34,29.3,27.43,27.43,26.52,28.1
26,27.43,27.88,27.88,28.34,27.43,27.65,27.65,28.1,27.22,28.1,29.05,27.43,28.34,29.3,27.43,27.43,26.52,28.1
27,27.43,27.65,27.88,28.1,27.43,27.65,27.43,28.34,27.22,28.1,28.81,27.43,28.34,29.55,27.43,27.43,26.52,28.34
28,27.43,27.65,27.88,28.1,27.43,27.65,27.43,28.1,27.22,28.1,29.05,27.65,28.34,29.3,27.43,27.43,26.52,24.17
29,23.51,27.43,27.88,28.1,27.43,27.22,27.43,28.1,27.22,28.1,28.81,27.22,28.1,29.05,23.04,23.67,26.52,24.0
30,23.51,27.65,27.88,28.34,27.43,25.23,27.43,28.1,27.43,28.1,28.81,27.43,27.88,29.05,23.2,23.67,23.2,28.34
31,27.43,27.43,27.88,28.1,27.43,24.87,27.43,28.34,27.43,28.34,28.81,27.22,28.34,29.3,27.43,27.43,23.51,28.34
32,27.43,24.34,27.88,28.34,27.43,25.6,27.43,28.34,27.43,28.1,28.81,27.43,28.1,29.05,27.65,27.43,26.52,28.34
33,27.43,24.51,24.17,28.34,27.43,25.6,27.65,27.43,27.43,28.1,28.81,27.65,28.1,29.3,27.65,27.43,26.52,28.34
34,27.43,27.65,27.88,28.1,27.43,26.19,28.1,27.22,27.43,28.1,28.81,27.22,28.1,29.05,27.65,27.43,26.52,28.34
35,27.22,27.65,27.88,28.34,27.43,26.39,28.1,27.65,27.43,28.1,28.81,27.43,28.1,29.05,27.65,27.43,26.52,28.1
36,27.43,27.65,27.88,28.1,27.43,26.39,27.06,27.11,27.43,28.1,29.05,27.43,28.1,29.05,27.43,27.43,26.52,28.1
37,27.22,27.65,27.88,28.1,27.65,26.39,27.06,27.11,27.65,28.1,28.81,27.43,28.1,29.05,27.43,27.43,26.52,28.1
38,27.22,27.65,27.88,28.1,27.65,26.39,27.06,27.11,27.43,28.34,28.81,27.65,28.1,29.05,27.43,27.43,26.52,27.88
39,27.22,27.43,27.88,28.1,27.65,26.39,27.06,27.11,27.65,28.1,29.05,27.43,28.1,29.05,27.43,27.43,26.52,28.1
40,27.22,27.43,28.34,28.1,27.88,26.59,27.06,27.11,27.65,28.1,28.81,27.43,28.1,28.81,27.43,27.43,26.52,27.88
41,27.22,27.88,27.88,23.67,27.65,26.8,27.06,27.11,27.43,28.1,29.05,27.43,28.1,29.05,27.43,27.43,26.52,28.1
42,27.43,27.65,28.1,23.51,27.65,26.59,27.06,27.11,27.43,28.1,28.57,27.22,28.1,28.81,27.43,27.43,26.52,28.1
43,27.43,27.65,27.88,28.1,27.65,27.01,27.06,27.11,27.22,28.1,28.81,27.43,28.1,29.05,27.43,27.43,26.52,27.7
44,27.43,27.65,27.88,28.1,27.65,27.01,27.06,27.11,27.22,28.1,28.81,27.43,28.1,29.05,27.43,27.43,26.52,27.7
45,27.43,27.43,27.88,28.34,27.65,27.22,27.01,27.65,27.43,28.1,28.81,27.22,28.1,29.3,27.22,27.43,26.52,28.1
46,27.43,27.43,27.88,28.34,27.43,27.43,27.01,27.88,27.43,28.1,29.05,27.43,28.1,29.05,27.22,27.65,26.52,28.1
47,27.43,27.65,27.88,28.34,27.43,27.43,27.43,27.11,27.43,28.1,28.81,27.22,28.1,28.81,27.22,27.43,27.22,27.7
48,27.65,27.43,27.88,28.34,27.43,27.43,27.88,28.1,27.43,28.1,29.05,27.43,28.1,29.3,27.22,27.65,26.52,27.7
49,27.43,27.43,27.65,28.34,27.43,27.43,28.1,27.43,27.43,28.1,28.81,27.22,28.1,29.3,27.43,27.43,27.22,27.7
50,27.43,27.65,27.65,28.34,27.65,27.43,27.88,27.43,27.43,28.1,28.81,27.22,28.1,29.05,27.43,27.65,27.43,27.7
51,27.43,27.88,27.65,28.34,27.43,27.43,28.1,27.43,27.43,28.1,28.81,27.22,28.1,29.05,27.43,27.43,26.52,27.65
52,27.22,27.65,27.65,28.34,27.43,27.43,28.34,27.43,27.43,28.34,28.81,27.22,28.1,29.05,27.43,27.43,26.52,27.7
53,27.43,27.65,27.65,28.34,27.43,27.43,27.06,27.43,27.43,28.1,28.81,27.22,28.1,29.05,27.43,27.43,26.52,27.88
54,27.43,27.43,27.65,28.1,27.43,27.43,28.34,27.43,27.43,28.1,29.05,27.22,28.1,29.3,27.43,27.65,26.52,27.7
55,27.43,27.43,27.65,28.1,27.43,27.43,27.06,27.43,27.43,28.1,28.81,27.22,28.1,28.81,27.43,27.43,26.52,28.1
56,27.43,27.65,27.88,28.34,27.43,27.65,28.34,27.43,27.43,28.1,28.81,27.22,28.1,29.05,27.43,27.43,26.52,27.7
57,27.43,27.65,27.88,27.65,27.43,27.43,27.88,27.88,27.22,28.1,28.81,27.22,28.1,29.05,27.65,27.43,26.52,28.1
58,27.43,27.43,27.88,27.65,27.43,27.65,27.01,27.88,27.43,28.1,29.05,27.43,28.1,29.05,27.65,27.43,26.52,27.7
59,27.65,27.43,27.88,27.65,27.43,27.43,24.69,28.1,27.43,28.1,28.81,27.43,28.1,29.05,27.33,27.43,26.52,27.43
60,27.43,27.65,28.1,27.65,27.43,27.43,27.06,28.1,27.43,28.1,28.81,27.22,28.1,29.3,27.65,27.43,26.52,27.43
61,27.43,27.43,27.88,27.65,27.22,27.43,27.06,27.22,27.43,28.1,28.81,27.22,28.1,29.05,27.88,27.43,26.52,27.43
62,27.88,27.65,28.1,27.65,27.43,27.22,27.06,27.88,27.43,28.1,28.81,27.43,28.1,29.05,27.88,27.43,26.52,27.43
63,27.88,27.43,28.1,27.65,27.43,27.43,27.06,27.11,27.43,28.1,28.81,27.43,28.1,29.05,27.88,27.43,26.52,27.43
64,27.88,27.43,28.1,27.65,27.43,27.22,27.06,27.11,27.43,28.1,28.81,27.43,28.1,29.3,27.88,27.43,26.52,27.43
65,27.65,27.43,28.1,27.88,27.43,27.43,27.06,27.11,27.43,28.1,28.81,27.43,28.1,29.3,27.43,27.22,26.52,27.43
66,27.65,27.43,28.1,27.88,27.43,27.43,27.06,27.11,27.43,28.1,28.81,27.43,28.1,29.05,27.43,27.22,26.52,27.43
67,27.65,27.43,28.1,27.88,27.43,27.43,27.06,27.11,27.43,28.34,28.81,27.43,28.1,29.3,27.43,27.22,26.52,27.43
68,27.22,27.65,28.1,27.88,27.43,27.88,27.06,27.11,27.43,28.1,28.57,27.43,28.1,29.05,27.43,27.22,26.52,28.34
69,27.43,27.43,27.65,27.88,27.43,28.1,27.06,27.11,27.22,28.1,28.57,27.22,27.88,29.05,27.43,27.22,26.52,28.1
70,27.22,27.43,27.65,27.88,27.43,27.88,27.06,27.11,27.43,28.1,29.05,27.01,28.1,29.05,27.43,27.43,26.52,28.1
71,27.43,27.43,27.65,28.1,27.43,28.1,27.88,27.11,27.43,28.1,28.81,27.22,28.1,29.05,27.43,27.43,26.52,28.1
72,27.43,27.43,27.88,28.34,27.43,27.88,27.06,27.11,27.43,28.1,28.81,27.22,28.1,29.05,27.43,27.43,26.52,27.7
73,27.43,27.43,27.65,28.34,27.43,28.1,27.06,27.11,27.43,27.88,28.81,27.22,28.1,29.55,27.43,27.43,27.22,28.1
74,27.43,27.43,27.65,28.34,27.43,28.1,27.06,27.11,27.22,28.1,29.05,27.01,27.88,29.05,27.43,27.43,27.22,27.88
75,27.43,27.43,27.65,28.34,27.43,27.88,27.06,27.11,27.22,28.1,28.81,27.22,28.1,29.3,27.43,27.43,26.8,27.88
76,27.43,27.43,27.65,28.1,27.43,27.88,27.06,27.11,27.43,28.1,28.81,27.22,28.1,29.3,27.43,27.43,27.01,28.1
77,27.43,27.43,27.65,28.1,27.43,27.88,27.06,27.11,27.22,28.1,28.81,27.22,28.1,29.05,27.43,22.89,27.22,23.04
78,27.43,27.43,27.65,28.34,27.43,27.88,27.06,27.11,27.22,28.1,28.81,27.22,28.1,29.3,27.22,27.43,27.22,22.89
79,27.22,27.43,27.43,28.34,27.43,27.65,27.06,27.11,27.22,28.1,28.81,27.43,28.34,29.3,27.22,27.43,27.01,27.7
