frame,rgb_z_0,rgb_z_1,rgb_z_2,rgb_z_3,rgb_z_4,rgb_z_5,rgb_z_6,rgb_z_7,rgb_z_8,rgb_z_9,rgb_z_10,rgb_z_11,rgb_z_12,rgb_z_13
0,27.43,28.34,28.1,28.1,28.1,28.1,28.57,27.88,27.43,28.34,29.05,27.43,28.1,29.3
1,27.43,28.34,28.1,28.1,28.1,28.1,28.57,27.88,27.65,28.34,29.05,27.43,28.1,29.3
2,27.43,28.34,28.1,28.1,27.88,28.1,28.57,27.88,27.65,28.34,29.05,27.65,27.88,29.05
3,27.65,28.34,28.1,28.1,27.88,28.1,28.57,27.88,27.65,28.34,29.05,27.43,27.88,29.3
4,27.43,28.34,28.1,28.1,27.88,28.1,28.57,27.88,27.65,28.34,29.05,27.65,27.88,29.3
5,27.43,28.34,27.88,27.65,27.22,28.1,28.57,27.65,27.65,28.34,29.05,27.43,27.88,29.3
6,27.65,28.34,28.1,27.65,27.01,28.1,28.1,28.34,27.65,28.34,29.05,27.65,28.1,29.3
7,27.65,28.34,28.1,27.43,26.19,28.1,27.88,26.99,27.65,28.34,29.05,27.65,28.1,29.05
8,27.65,28.34,28.1,27.22,26.39,28.1,27.65,26.99,27.65,28.34,28.81,27.65,28.1,29.3
9,27.65,28.34,28.1,27.22,27.01,28.34,27.65,27.88,27.65,28.34,28.81,27.65,28.1,29.3
10,27.65,28.34,27.01,23.04,26.59,27.88,26.95,27.22,27.88,28.1,28.57,27.65,28.1,29.05
11,27.65,28.1,23.04,23.04,27.43,27.65,23.2,27.88,27.88,27.88,28.57,27.65,27.65,29.05
12,27.43,28.1,26.88,26.19,27.65,22.59,28.1,27.43,27.88,27.65,28.57,27.88,27.65,28.81
13,27.43,28.1,26.88,26.19,27.88,27.43,27.22,27.22,28.1,27.43,28.57,27.88,27.65,28.81
14,27.43,28.1,25.8,27.88,26.72,22.74,27.65,27.22,28.1,27.43,28.34,27.65,27.43,28.57
15,27.43,27.88,25.8,26.19,27.65,22.74,27.65,27.43,28.34,27.22,28.34,28.1,27.43,28.34
16,27.43,28.1,22.89,26.19,27.65,22.44,27.65,27.22,28.1,27.22,27.65,27.88,27.22,28.1
17,27.43,28.1,22.74,26.19,27.88,23.51,22.3,27.22,28.34,26.8,27.43,27.88,26.8,28.57
18,27.43,28.1,22.74,26.19,27.65,24.34,27.65,27.22,28.34,27.01,27.43,27.88,26.8,28.57
19,27.43,28.1,25.05,22.3,27.65,26.59,24.34,27.22,28.1,26.8,26.8,27.88,26.8,28.34
20,27.43,28.1,25.6,23.51,22.89,27.22,24.87,22.01,28.1,27.22,26.59,27.88,27.22,28.34
21,27.65,27.65,27.65,24.51,22.3,27.43,26.39,26.99,28.1,27.22,26.59,27.65,27.22,28.34
22,27.51,27.43,27.65,24.51,24.69,27.65,26.95,26.99,28.1,27.22,26.59,27.88,27.43,26.8
23,27.51,27.43,26.88,27.01,25.05,26.91,27.43,26.8,28.1,27.22,26.59,27.88,27.01,26.8
24,27.01,27.43,26.88,27.43,27.01,26.91,27.43,27.01,28.1,27.22,26.59,27.88,27.22,26.8
25,27.51,27.43,28.34,25.6,26.19,26.91,27.22,27.22,27.88,27.43,26.59,27.65,27.22,27.01
26,27.51,27.43,26.88,27.22,25.6,26.91,27.88,27.88,27.88,27.22,26.8,27.88,27.65,27.22
27,27.51,27.22,26.88,26.19,27.01,26.91,27.88,27.43,27.88,27.43,27.01,27.88,27.22,27.43
28,27.51,27.43,26.88,27.22,25.8,26.91,27.88,25.23,27.88,27.43,27.22,27.88,27.88,27.65
29,27.51,27.22,26.88,27.01,23.67,26.91,27.01,24.69,27.88,27.43,27.43,27.43,27.65,27.88
30,27.51,27.43,26.88,24.51,26.72,26.91,26.19,22.74,27.88,27.43,27.43,27.65,27.65,28.1
31,27.51,27.43,26.88,23.67,26.72,26.91,25.8,27.65,27.88,27.43,27.43,27.43,28.1,28.1
32,27.51,27.43,26.88,26.19,26.72,26.91,24.87,28.1,27.88,27.43,27.43,27.65,28.1,28.1
33,27.51,27.43,26.88,26.19,28.1,26.91,27.22,27.88,27.88,27.43,27.88,27.43,28.1,28.34
34,27.51,27.65,26.88,26.19,26.72,28.1,28.1,27.88,27.65,27.43,27.65,27.43,28.1,28.57
35,27.51,27.88,28.1,26.19,26.72,27.88,28.1,28.1,27.88,27.43,28.34,27.65,27.22,28.57
36,27.51,27.88,28.1,26.19,28.34,27.88,27.88,27.88,27.88,27.43,28.34,27.88,27.22,28.81
37,27.88,28.1,27.65,26.19,26.72,27.65,24.0,27.88,27.65,27.43,28.57,27.43,27.43,28.81
38,27.65,28.1,27.65,24.69,26.72,27.65,24.69,27.88,27.65,27.65,28.57,27.43,27.65,29.05
39,27.65,28.34,27.65,25.8,26.72,27.88,25.42,24.34,27.43,27.88,28.81,27.43,27.88,29.05
40,27.43,28.1,27.65,26.19,26.72,27.88,25.99,24.87,27.65,27.88,28.81,27.43,27.88,29.05
41,27.43,28.1,27.65,26.8,26.72,27.88,27.43,25.42,27.22,28.1,28.81,27.43,28.1,29.05
