frame,rgb_z_0,rgb_z_1,rgb_z_2,rgb_z_3,rgb_z_4,rgb_z_5,rgb_z_6,rgb_z_7,rgb_z_8,rgb_z_9,rgb_z_10,rgb_z_11,rgb_z_12,rgb_z_13,rgb_z_14,rgb_z_15,rgb_z_16,rgb_z_17
0,31.43,32.01,31.72,32.01,31.43,31.43,32.31,32.01,31.43,32.31,32.93,31.15,31.72,32.93,31.43,31.15,26.51,32.01
1,31.15,31.72,31.72,32.01,31.72,31.43,32.31,32.01,31.43,32.31,32.93,31.43,32.31,32.62,31.43,31.43,26.51,31.43
2,31.15,31.72,31.72,32.01,31.72,31.43,32.31,32.01,31.43,32.31,32.62,31.15,32.31,32.93,31.43,31.43,26.51,31.72
3,31.15,31.72,31.72,32.01,31.43,31.43,32.31,32.01,31.43,32.31,32.62,31.15,32.01,32.62,31.72,31.15,26.51,31.72
4,31.15,31.72,31.72,32.01,31.72,31.15,32.31,32.01,32.01,32.62,32.93,31.15,32.31,32.62,31.72,31.15,26.51,32.01
5,31.43,31.72,31.72,32.01,31.43,31.15,32.31,32.01,31.15,32.31,32.93,31.43,31.72,32.62,31.43,31.15,26.51,31.72
6,31.15,31.72,31.72,32.01,31.43,31.15,32.31,32.01,31.72,32.01,32.93,31.72,32.31,32.62,31.15,31.15,31.43,31.72
7,31.15,31.72,31.72,32.01,31.43,31.15,32.31,32.01,31.72,32.31,32.93,31.43,32.01,32.62,31.15,31.15,31.72,31.43
8,31.43,31.72,31.72,32.01,31.43,31.15,32.31,32.01,32.31,32.31,32.93,31.43,31.43,32.62,31.43,31.15,31.72,31.43
9,31.15,31.72,31.72,32.01,31.43,31.15,32.31,32.01,31.15,32.31,32.93,31.43,32.31,32.31,31.15,31.15,26.51,31.43
10,31.15,31.43,31.72,32.01,31.43,31.15,32.31,32.01,31.15,32.01,32.93,31.43,32.31,32.62,31.15,31.15,26.51,31.43
11,31.15,31.72,31.72,32.01,31.43,31.15,32.31,31.72,31.43,32.31,32.62,31.43,32.31,32.62,31.43,31.15,26.51,31.43
12,31.15,31.43,31.43,31.72,31.43,31.15,32.31,31.72,31.43,32.01,32.62,31.43,32.01,32.62,31.15,31.15,26.51,31.43
13,31.43,31.15,31.43,31.72,31.72,31.15,32.31,31.72,31.43,31.43,32.93,31.15,31.43,32.62,31.43,31.15,26.51,31.72
14,31.43,31.15,31.43,31.72,31.72,31.15,32.31,32.01,31.43,31.15,32.62,31.43,31.43,32.62,31.43,31.15,26.51,32.01
15,31.43,31.43,31.43,31.72,31.72,31.15,32.31,32.01,31.43,31.15,32.31,31.15,31.72,32.62,31.15,31.15,26.51,31.72
16,30.87,31.43,31.43,31.43,31.43,31.15,32.31,32.01,31.15,30.33,31.72,31.15,31.72,32.62,30.87,30.87,26.51,31.15
17,30.59,31.43,31.15,31.43,31.43,31.15,32.31,32.01,31.15,30.06,31.15,30.87,31.43,32.62,30.87,30.59,26.51,31.15
18,30.33,31.15,31.15,31.43,31.43,30.87,32.31,32.01,31.15,29.8,30.06,31.15,31.43,32.93,30.59,30.59,26.51,29.07
19,30.33,31.15,31.15,31.43,31.15,30.87,32.01,32.01,31.15,29.8,29.55,30.87,31.43,32.62,30.87,30.33,26.51,29.07
20,30.59,31.15,30.87,31.43,31.15,30.87,32.31,31.72,30.87,29.55,29.3,30.59,31.43,32.93,30.59,30.33,26.51,31.15
21,30.06,30.33,30.87,31.43,31.15,30.59,32.01,31.43,30.87,29.3,28.57,30.06,31.15,32.62,30.06,30.06,26.51,30.87
22,29.8,30.06,30.33,30.87,30.59,30.06,32.01,30.87,30.06,28.57,29.41,30.06,30.87,32.62,30.59,29.8,26.51,29.07
23,30.06,30.06,30.06,30.59,30.59,30.06,30.33,31.15,30.33,28.34,27.43,30.06,30.59,32.31,30.33,29.3,31.15,30.06
24,30.06,29.8,30.06,30.2,30.32,29.8,30.06,30.06,29.8,28.1,25.99,29.55,30.59,32.31,30.06,30.06,30.59,30.33
25,29.55,29.3,29.8,30.06,30.32,29.55,30.06,30.06,29.05,28.1,26.39,29.3,30.33,32.31,29.8,29.3,29.8,29.55
26,29.3,29.05,29.3,30.2,30.32,29.3,30.06,30.06,29.8,27.65,26.39,29.3,30.33,32.31,29.05,29.3,29.3,29.05
27,28.57,28.34,28.57,30.2,30.32,29.05,29.55,29.55,28.81,27.22,25.99,28.34,30.06,32.31,28.57,28.81,28.57,28.81
28,27.88,27.65,28.1,30.2,30.32,28.1,29.55,29.55,28.81,26.39,25.6,28.34,29.3,31.72,27.88,27.88,27.43,27.88
29,27.22,27.01,27.43,28.34,30.32,27.88,28.81,29.72,27.88,25.6,25.6,27.65,28.57,30.59,27.22,27.22,27.22,27.43
30,26.19,26.39,26.59,27.43,28.1,27.01,28.1,29.72,27.22,24.87,25.42,27.65,28.1,28.57,26.19,26.39,25.99,26.39
31,25.6,25.8,25.6,27.01,27.65,26.39,27.65,29.72,27.22,24.69,25.05,27.22,27.88,28.57,25.6,25.6,25.8,25.05
32,25.05,25.23,25.05,26.59,27.22,25.8,29.92,29.72,26.59,24.17,25.05,26.59,27.65,31.43,25.05,25.05,25.05,24.17
33,24.34,24.87,24.87,26.39,27.22,25.05,27.43,29.72,26.39,24.17,24.87,26.19,27.01,32.01,24.87,23.2,25.05,23.35
34,23.84,24.17,24.87,26.19,27.22,24.34,24.69,25.6,25.8,24.34,24.87,25.8,27.22,28.57,25.05,22.74,25.05,22.74
35,22.44,22.74,24.69,26.19,27.01,24.17,24.0,24.34,25.6,24.34,24.87,25.6,27.22,27.43,23.35,22.44,25.05,22.44
36,22.3,22.44,24.69,25.6,26.39,24.17,23.51,23.84,25.42,24.34,24.87,25.6,26.59,27.43,22.44,22.3,24.87,22.15
37,21.87,22.01,24.34,25.8,26.8,24.0,22.3,23.35,25.23,24.34,24.87,24.87,26.59,27.88,21.87,22.01,22.15,22.01
38,21.87,22.01,24.17,25.99,26.8,24.17,22.01,23.51,25.42,24.34,25.05,24.87,27.01,28.34,21.87,21.87,22.15,22.15
39,22.3,22.44,24.34,25.42,27.22,23.67,20.95,20.09,25.23,24.69,24.87,25.42,26.8,28.34,22.15,22.3,22.15,23.2
40,22.44,23.2,24.51,26.19,27.22,24.17,21.2,20.33,25.6,24.87,24.87,25.42,27.01,28.81,22.44,22.89,22.44,23.2
41,23.04,23.35,24.87,26.39,27.22,24.51,21.74,20.69,25.99,24.87,25.05,25.99,27.22,29.05,22.89,23.51,22.89,24.0
42,23.51,23.84,25.23,26.19,27.43,24.87,24.0,21.6,26.39,25.6,25.05,26.59,27.43,29.3,23.35,23.67,23.51,24.69
43,24.17,25.42,25.8,27.22,27.65,25.42,24.69,22.15,26.59,25.6,25.42,26.59,27.43,29.3,24.17,24.17,24.17,29.07
44,24.87,25.8,26.39,27.22,27.65,26.39,25.42,23.35,27.22,25.8,25.42,27.22,27.65,29.3,24.69,25.23,24.87,25.6
45,25.6,26.39,27.22,28.1,28.57,27.01,26.39,23.84,27.43,26.59,25.6,27.43,28.1,30.06,25.6,25.8,25.8,26.19
46,26.59,27.65,27.88,28.57,29.05,27.88,27.01,26.8,28.1,26.8,25.6,27.88,28.34,30.33,26.39,26.59,26.59,26.8
47,27.43,28.34,28.81,29.3,29.55,28.34,28.1,27.88,28.57,27.43,26.19,28.34,28.81,31.43,27.43,27.22,27.43,27.88
48,28.1,29.3,29.3,29.55,30.06,29.05,28.81,29.05,29.05,28.1,26.59,29.05,29.55,31.43,28.34,28.1,28.81,28.57
49,29.05,29.8,30.06,30.06,30.33,29.8,29.8,30.33,30.06,28.57,27.22,29.55,30.06,31.72,29.3,28.81,26.51,29.05
50,29.3,30.06,30.06,30.33,30.59,29.8,30.06,30.59,30.06,28.57,27.43,29.8,29.8,32.01,29.3,29.05,26.51,29.05
51,29.3,30.33,30.33,30.59,30.59,30.33,30.06,30.59,30.06,28.57,28.1,29.8,30.33,32.31,29.8,29.05,26.51,29.55
52,29.8,30.59,30.59,30.87,30.87,30.59,30.87,30.87,30.59,29.3,28.57,30.33,30.33,32.01,30.33,29.55,26.51,29.8
53,30.06,30.87,30.87,30.87,31.15,30.33,31.15,30.87,30.59,29.55,29.3,30.06,30.87,32.31,30.33,29.55,26.51,30.06
54,30.33,31.15,31.15,31.15,31.15,30.59,31.72,31.15,30.87,29.8,30.06,30.59,30.87,32.31,30.87,29.8,26.51,30.33
55,30.59,31.15,31.15,31.15,31.43,30.87,32.01,31.15,31.15,30.33,30.87,30.59,30.87,32.62,30.87,30.06,26.51,30.87
56,30.87,31.15,31.43,31.43,31.43,30.87,32.01,31.15,31.15,30.59,32.01,30.59,30.87,32.62,31.15,30.33,26.51,30.59
57,30.87,31.43,31.43,31.43,31.72,31.15,32.31,32.01,31.43,30.59,32.31,30.87,32.31,32.62,31.15,30.87,26.51,30.33
58,31.15,31.43,31.43,31.43,31.72,31.15,32.31,31.72,31.43,30.87,32.62,31.15,32.01,32.31,31.15,31.15,26.51,30.59
59,31.15,31.72,31.43,31.72,31.72,31.15,32.62,31.43,31.43,31.43,32.62,31.15,31.43,32.62,28.93,31.15,26.51,30.87
60,31.15,31.15,31.43,32.01,31.72,31.15,31.72,32.01,31.15,31.43,32.93,31.15,32.31,32.62,28.93,31.15,26.51,30.87
61,31.15,31.72,31.43,32.01,31.72,31.15,31.72,31.43,32.01,31.72,32.62,31.15,32.31,32.62,28.93,31.15,26.51,30.87
62,31.43,31.72,31.72,32.01,31.72,31.15,32.01,32.01,31.43,31.72,32.93,31.15,32.31,32.62,28.93,31.15,26.51,31.15
63,31.43,31.72,32.01,32.01,32.01,31.15,32.01,32.01,32.01,32.01,32.93,31.43,32.62,32.62,32.01,31.43,26.51,31.15
64,31.43,31.43,32.01,32.31,31.72,31.15,32.01,31.72,31.72,32.01,33.24,31.15,32.62,32.93,31.43,31.43,26.51,31.15
65,31.15,32.01,32.01,32.01,31.72,31.15,32.01,32.01,31.72,32.01,32.93,31.43,32.62,32.62,31.43,31.15,26.51,31.43
66,31.43,32.01,32.01,32.31,31.72,31.15,32.31,32.31,31.43,32.31,33.24,31.15,32.01,32.62,31.72,31.43,26.51,31.43
67,32.31,31.43,32.01,32.31,31.72,31.43,32.31,32.31,31.43,32.31,32.93,31.43,32.62,32.62,32.31,31.43,26.51,31.43
68,31.72,32.01,32.31,32.31,32.01,31.43,32.31,32.01,32.01,32.31,33.24,31.43,32.62,32.62,31.72,31.43,26.51,31.72
69,31.72,32.01,32.01,32.31,32.01,31.43,32.62,32.01,32.01,32.31,33.24,31.15,32.62,32.93,31.72,31.43,26.51,31.72
