frame,rgb_x_0,rgb_x_1,rgb_x_2,rgb_x_3,rgb_x_4,rgb_x_5,rgb_x_6,rgb_x_7,rgb_x_8,rgb_x_9,rgb_x_10,rgb_x_11,rgb_x_12,rgb_x_13,rgb_y_0,rgb_y_1,rgb_y_2,rgb_y_3,rgb_y_4,rgb_y_5,rgb_y_6,rgb_y_7,rgb_y_8,rgb_y_9,rgb_y_10,rgb_y_11,rgb_y_12,rgb_y_13
0,0.3333333333333333,0.5,0.0,0.3333333333333333,0.3157894736842105,1.0,0.8181818181818182,0.8,0.25,0.0,0.0,1.0,1.0,1.0,0,0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,0.5,1.0
1,0.3333333333333333,0.5,0.0,0.3333333333333333,0.2631578947368421,1.0,0.8181818181818182,0.8,0.25,0.0,0.0,1.0,1.0,1.0,0,0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.0
2,0.3333333333333333,0.5,0.0,0.3333333333333333,0.2631578947368421,1.0,0.8181818181818182,0.8,0.25,0.0,0.0,1.0,1.0,1.0,0,0,1.0,0.9166666666666666,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,0.5,1.0
3,0.3333333333333333,0.5,0.0,0.3333333333333333,0.2631578947368421,1.0,0.8181818181818182,0.8,0.0,0.0,0.0,1.0,1.0,1.0,0,0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,0.5,1.0
4,0.3333333333333333,0.5,0.0,0.3333333333333333,0.2631578947368421,1.0,0.8181818181818182,0.8,0.25,0.0,0.0,1.0,1.0,1.0,0,0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.0
5,0.3333333333333333,0.5,0.0,0.3333333333333333,0.2631578947368421,1.0,0.8181818181818182,0.8,0.0,0.0,0.0,0.8333333333333334,1.0,1.0,0,0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.0
6,0.3333333333333333,0.5,0.0,0.3333333333333333,0.2631578947368421,1.0,0.8181818181818182,0.8,0.25,0.0,0.0,1.0,1.0,1.0,0,0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.0
7,0.3333333333333333,0.5,0.0,0.3333333333333333,0.3157894736842105,1.0,0.8181818181818182,0.85,0.0,0.0,0.0,0.8333333333333334,1.0,1.0,0,0,1.0,0.9166666666666666,0.9444444444444444,0.5,1.0,0.9411764705882353,1.0,1.0,0.5,1.0,0.5,1.0
8,0.3333333333333333,0.0,0.0,0.3333333333333333,0.3157894736842105,1.0,0.8181818181818182,0.85,0.25,0.0,0.0,0.8333333333333334,1.0,1.0,0,0,1.0,0.9166666666666666,0.9444444444444444,0.5,0.9166666666666666,0.9411764705882353,1.0,1.0,0.5,1.0,0.5,1.0
9,0.3333333333333333,0.0,0.0,0.4,0.42105263157894735,0.5,0.8181818181818182,0.85,0.25,0.0,0.0,0.8333333333333334,1.0,1.0,0,0,1.0,0.8333333333333334,0.8888888888888888,0.5,0.9166666666666666,0.8235294117647058,1.0,1.0,0.5,1.0,0.5,1.0
10,0.3333333333333333,0.0,0.0,0.4666666666666667,0.5789473684210527,0.5,0.8181818181818182,0.9,0.0,0.0,0.0,0.8333333333333334,1.0,1.0,0,0,0.5,0.8333333333333334,0.7777777777777778,0.5,0.9166666666666666,0.7058823529411765,0.5,0.5,0.5,0.5,0.5,0.0
11,0.3333333333333333,0.0,0.0,0.5333333333333333,0.7368421052631579,0.5,0.8181818181818182,0.9,0.25,0.0,0.0,0.8333333333333334,1.0,1.0,0,0,0.5,0.75,0.6111111111111112,0.5,0.9166666666666666,0.6470588235294118,0.5,1.0,0.5,0.5,0.5,1.0
12,0.3333333333333333,0.0,0.0,0.6,0.7894736842105263,0.5,0.8181818181818182,0.9,0.25,0.0,0.0,0.8333333333333334,1.0,1.0,0,0,0.5,0.5833333333333334,0.4444444444444444,0.5,0.75,0.47058823529411764,0.5,0.5,0.5,0.5,0.5,1.0
13,0.3333333333333333,0.0,0.0,0.6666666666666666,1.0,0.0,0.8181818181818182,0.95,0.25,0.0,0.0,0.8333333333333334,1.0,1.0,0,0,0.5,0.5,0.3333333333333333,0.5,1.0,0.4117647058823529,0.5,0.5,0.5,0.5,0.5,0.0
14,0.3333333333333333,0.0,0.2,0.8666666666666667,1.0,0.0,0.8181818181818182,1.0,0.25,0.0,0.0,0.8333333333333334,1.0,1.0,0,0,0.5,0.4166666666666667,0.2777777777777778,0.0,0.9166666666666666,0.29411764705882354,0.5,0.5,0.5,0.0,0.5,1.0
15,0.3333333333333333,0.0,0.2,0.8666666666666667,1.0,0.0,0.8181818181818182,0.95,0.25,0.0,0.0,0.8333333333333334,1.0,1.0,0,0,0.5,0.4166666666666667,0.2222222222222222,0.5,0.9166666666666666,0.29411764705882354,0.5,0.5,0.5,0.5,0.5,0.0
16,0.3333333333333333,0.0,0.2,0.8666666666666667,0.7894736842105263,0.0,0.8181818181818182,0.95,0.25,0.0,0.0,0.8333333333333334,1.0,1.0,0,0,0.0,0.3333333333333333,0.16666666666666666,0.5,0.9166666666666666,0.23529411764705882,0.5,1.0,0.5,0.5,0.5,0.0
17,0.6666666666666666,0.5,0.4,1.0,1.0,0.0,0.9090909090909091,0.9,0.25,0.0,0.0,0.8333333333333334,1.0,1.0,0,0,0.0,0.25,0.16666666666666666,1.0,0.9166666666666666,0.23529411764705882,0.5,0.5,0.5,0.5,0.0,0.0
